Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;O16;O17;O18;O19;O20;PROC;SETUP
328;J1;2;0;5;1;0;0;0;0;0;0;0;0;4;5;0;0;0;5;0;0;1;18
328;J2;0;0;0;0;2;0;0;0;0;0;0;4;7;0;0;0;3;0;0;0;8;8
328;J3;0;0;0;0;0;5;3;7;1;0;7;5;6;5;1;7;6;9;0;0;10;44
328;J4;0;0;0;0;0;0;0;0;7;3;10;0;0;0;0;5;1;2;1;3;2;44
328;J5;6;7;6;3;8;7;7;4;0;0;0;6;4;5;0;0;0;10;6;0;5;6
328;J6;10;1;8;5;0;0;0;0;0;9;4;5;2;1;6;10;1;8;5;0;4;16
328;J7;0;0;0;2;6;7;3;6;4;5;6;0;0;0;0;0;0;0;2;6;1;55
328;J8;7;0;0;5;0;0;0;0;1;6;9;8;3;0;0;7;0;0;5;0;9;41
328;J9;0;1;0;0;0;0;6;2;0;0;0;7;4;0;0;0;1;0;0;0;8;73
328;J10;7;3;0;0;5;0;0;0;0;3;0;5;8;7;1;7;3;0;0;5;7;98

