Exp;Job;O1;02;03;04;05;O6;07;08;09;010;O11;012;013;014;015;O16;017;018;019;020;PROC;SETUP
340;J1;3;7;4;3;4;0;0;8;0;3;7;9;8;2;5;3;6;3;6;3;10;108
340;J2;5;4;10;8;1;0;0;0;0;0;3;4;7;3;5;0;4;4;7;1;5;123
340;J3;0;0;0;0;0;3;0;0;0;0;0;0;4;5;0;3;0;0;0;0;9;49
340;J4;0;0;0;0;0;0;3;0;0;0;0;9;0;0;0;2;0;0;0;0;8;25
340;J5;9;6;5;9;3;6;10;7;0;0;1;8;0;8;9;7;5;6;8;0;3;115
340;J6;2;0;0;0;0;0;0;0;0;9;5;9;6;2;2;2;0;0;0;0;1;181
340;J7;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;4;50
340;J8;2;7;10;2;2;0;1;0;0;0;0;0;0;0;0;2;7;10;2;2;6;180
340;J9;2;2;6;3;9;3;5;0;4;6;0;0;0;0;0;2;2;6;3;9;8;13
340;J10;0;4;1;4;3;2;3;4;0;6;0;0;0;5;7;0;4;1;4;3;10;41

