Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;PROC;SETUP
180;J1;4;0;0;0;0;0;0;0;0;0;4;5
180;J2;0;10;7;9;2;6;10;2;9;3;8;131
180;J3;3;3;6;2;0;0;0;0;0;0;2;176
180;J4;8;9;2;3;7;1;4;3;8;10;5;142
180;J5;6;8;1;5;1;0;0;0;0;0;3;80
180;J6;0;0;0;0;0;3;4;4;3;5;3;135
180;J7;4;9;7;10;2;9;0;0;0;0;8;73
180;J8;0;0;0;0;0;0;0;4;9;7;7;66
180;J9;4;10;0;0;0;0;0;0;0;0;4;147
180;J10;0;0;0;0;0;4;7;3;7;5;10;15
180;J11;9;8;2;6;1;4;0;0;0;0;2;48
180;J12;0;0;0;0;0;0;0;0;9;8;7;72
180;J13;4;7;10;8;6;0;0;0;0;0;4;120
180;J14;0;0;0;0;0;0;0;0;6;3;4;185
180;J15;9;9;7;8;7;8;4;0;0;0;2;92
180;J16;0;0;0;0;0;0;0;3;2;10;5;178
180;J17;10;10;8;5;6;5;1;4;8;4;6;156
180;J18;2;3;8;0;0;0;0;0;0;0;5;175
180;J19;0;0;0;0;0;0;0;0;0;3;1;98
180;J20;7;6;9;3;0;0;0;0;0;0;8;88

