Exp;Job;O1;02;03;04;05;O6;07;08;09;010;PROC;SETUP
177;J1;7;3;7;7;9;8;8;7;1;2;7;12
177;J2;10;5;8;0;0;0;0;0;0;0;2;70
177;J3;0;9;9;8;6;2;10;5;4;5;2;49
177;J4;4;5;4;4;4;7;0;0;0;0;9;58
177;J5;1;4;2;6;3;8;2;1;2;6;8;130
177;J6;10;6;6;0;0;0;0;0;0;0;7;154
177;J7;0;10;7;4;3;3;5;2;9;8;4;39
177;J8;6;7;0;0;0;0;0;0;0;0;1;174
177;J9;0;1;9;7;6;4;9;7;3;1;6;21
177;J10;8;1;5;9;10;4;8;4;9;0;1;111
177;J11;0;0;0;0;0;0;2;9;4;6;5;179
177;J12;4;2;5;6;3;7;5;7;6;5;6;65
177;J13;4;8;0;0;0;0;0;0;0;0;2;20
177;J14;0;0;0;0;0;7;10;3;1;2;8;109
177;J15;1;5;7;6;4;5;8;5;3;0;9;53
177;J16;0;6;2;5;4;3;2;3;8;6;1;106
177;J17;8;3;0;0;0;0;0;0;0;0;2;11
177;J18;0;0;0;0;9;10;4;7;1;5;5;179
177;J19;4;7;10;0;0;0;0;0;0;0;10;13
177;J20;7;9;8;7;5;7;3;2;0;0;5;134

