Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;PROC;SETUP
194;J1;1;5;7;6;2;2;7;10;0;0;1;54
194;J2;6;7;1;7;3;7;5;10;1;9;5;111
194;J3;0;0;0;10;7;5;7;1;3;6;1;132
194;J4;4;7;6;8;9;4;10;5;0;0;10;167
194;J5;4;6;6;9;2;3;9;4;2;7;4;133
194;J6;3;3;7;8;8;1;4;4;1;9;10;104
194;J7;6;0;0;0;0;0;0;0;0;0;5;182
194;J8;0;0;0;3;3;8;6;5;1;6;6;102
194;J9;1;7;10;7;1;10;1;1;7;10;3;115
194;J10;0;0;0;1;10;9;3;8;2;1;10;113
194;J11;6;2;5;0;0;0;0;0;0;0;2;167
194;J12;0;0;0;10;9;6;1;2;7;2;5;130
194;J13;1;5;1;1;7;6;0;0;0;0;7;185
194;J14;5;3;6;3;10;7;7;7;7;0;7;38
194;J15;0;0;0;0;0;0;0;8;9;3;7;55
194;J16;5;3;8;5;1;1;3;0;0;0;7;6
194;J17;0;0;0;0;0;0;0;3;5;2;3;86
194;J18;5;6;4;7;3;8;5;9;3;0;8;94
194;J19;0;0;0;0;1;6;2;0;0;0;8;26
194;J20;0;0;3;10;2;3;4;2;5;8;4;90

