Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;PROC;SETUP
198;J1;8;10;0;0;0;0;0;0;0;0;5;99
198;J2;0;0;4;3;0;0;0;0;0;0;6;88
198;J3;0;0;7;10;3;4;9;6;10;2;1;62
198;J4;3;2;0;0;0;0;0;0;0;0;4;59
198;J5;3;1;1;3;6;4;10;0;0;0;3;70
198;J6;0;0;0;0;0;0;6;4;7;6;9;126
198;J7;10;9;4;5;4;5;1;2;7;0;9;13
198;J8;0;2;10;9;6;6;9;3;5;5;9;69
198;J9;7;8;7;4;1;0;0;0;0;0;9;119
198;J10;0;0;0;0;0;7;10;2;5;9;7;114
198;J11;4;5;0;0;0;0;0;0;0;0;8;45
198;J12;0;0;7;3;0;0;0;0;0;0;5;35
198;J13;10;1;10;1;7;3;6;6;1;7;10;10
198;J14;0;0;0;0;0;0;0;0;5;10;10;136
198;J15;1;10;2;1;8;8;9;2;5;0;4;17
198;J16;0;0;0;0;0;0;0;0;0;1;5;93
198;J17;0;2;9;9;8;1;10;4;5;3;9;74
198;J18;7;5;5;9;5;9;5;1;3;3;8;119
198;J19;5;7;5;4;10;4;2;0;0;0;3;49
198;J20;0;0;0;0;5;2;5;5;6;10;9;108

