Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;PROC;SETUP
199;J1;5;3;4;8;7;6;1;0;0;0;1;16
199;J2;0;0;0;0;0;4;8;6;2;2;2;90
199;J3;10;7;7;6;9;5;8;9;10;10;1;27
199;J4;2;9;9;9;1;8;0;0;0;0;3;64
199;J5;0;0;0;0;0;0;1;10;0;0;6;78
199;J6;0;4;9;1;4;4;6;10;9;10;2;80
199;J7;6;3;0;0;0;0;0;0;0;0;2;68
199;J8;0;0;4;0;0;0;0;0;0;0;10;75
199;J9;0;0;0;4;8;2;8;0;0;0;7;74
199;J10;10;3;2;8;10;3;5;8;2;0;1;4
199;J11;5;9;0;0;0;0;0;0;0;0;7;42
199;J12;0;0;3;9;1;1;0;0;0;0;4;99
199;J13;9;3;3;5;2;10;0;0;0;0;2;54
199;J14;0;7;7;4;8;1;4;7;7;2;4;12
199;J15;7;2;3;5;8;5;0;0;0;0;1;75
199;J16;6;6;6;1;9;10;4;4;9;4;4;42
199;J17;0;0;0;4;6;3;1;9;5;1;5;14
199;J18;8;1;0;0;0;0;0;0;0;0;2;71
199;J19;0;0;3;4;7;2;0;0;0;0;3;21
199;J20;0;0;0;0;0;0;2;6;0;0;4;26

