Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;PROC;SETUP
178;J1;1;3;2;6;7;1;8;5;9;0;2;89
178;J2;3;8;8;9;10;6;5;2;9;9;3;75
178;J3;9;0;0;0;0;0;0;0;0;0;10;121
178;J4;0;0;0;0;0;0;0;0;0;8;2;72
178;J5;4;9;2;8;7;3;8;7;0;0;10;142
178;J6;0;0;0;0;0;0;0;0;7;4;9;62
178;J7;2;5;9;8;7;5;6;3;0;0;5;51
178;J8;0;0;0;0;0;0;0;7;4;9;5;132
178;J9;6;5;7;8;3;5;0;0;0;0;10;33
178;J10;0;0;0;0;0;0;0;3;5;4;9;30
178;J11;1;1;7;0;0;0;0;0;0;0;2;114
178;J12;0;0;0;3;10;2;4;8;3;7;5;60
178;J13;7;10;3;3;8;4;8;0;0;0;6;77
178;J14;0;0;0;0;0;9;5;5;3;10;8;32
178;J15;0;0;0;0;2;5;4;0;0;0;9;104
178;J16;0;0;0;0;0;0;0;0;1;8;7;131
178;J17;10;5;1;9;5;10;1;7;9;0;3;147
178;J18;0;0;2;9;1;3;10;3;5;2;6;33
178;J19;2;0;0;0;0;0;0;0;0;0;7;40
178;J20;2;5;7;6;9;7;3;8;5;0;6;10

