Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;PROC;SETUP
191;J1;0;0;0;0;0;2;6;9;1;3;4;6
191;J2;1;9;8;8;9;7;9;1;0;0;6;34
191;J3;0;0;6;8;3;10;8;4;8;8;2;2
191;J4;0;0;2;5;4;10;0;0;0;0;6;29
191;J5;6;2;2;10;7;0;0;0;0;0;8;39
191;J6;0;0;0;0;0;6;8;9;7;10;1;42
191;J7;2;6;0;0;0;0;0;0;0;0;9;36
191;J8;0;0;0;5;1;2;1;5;6;3;8;21
191;J9;10;5;5;2;2;2;2;8;6;10;10;35
191;J10;5;7;2;2;7;9;0;0;0;0;4;15
191;J11;0;0;0;0;6;2;7;1;3;3;2;4
191;J12;0;0;0;0;8;6;2;4;0;0;7;33
191;J13;5;2;6;8;6;0;0;0;0;0;3;12
191;J14;0;0;0;0;0;4;2;0;0;0;8;45
191;J15;2;1;3;0;0;0;0;0;0;0;1;8
191;J16;5;1;5;3;1;6;8;8;2;4;8;26
191;J17;10;2;8;9;1;3;7;10;5;9;3;10
191;J18;0;0;0;9;5;5;5;3;10;5;6;36
191;J19;1;1;3;4;5;8;0;0;0;0;9;19
191;J20;0;0;0;0;0;0;4;7;3;10;9;19

