Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;PROC;SETUP
200;J1;0;0;0;5;6;8;10;7;1;3;6;35
200;J2;4;9;10;10;2;2;2;2;2;2;5;35
200;J3;6;2;4;0;0;0;0;0;0;0;10;29
200;J4;9;4;10;8;9;3;5;7;2;10;5;48
200;J5;3;1;5;9;5;6;2;0;0;0;4;41
200;J6;0;0;0;7;6;9;6;7;7;9;5;16
200;J7;3;5;6;5;8;10;6;5;5;5;4;21
200;J8;6;8;4;5;3;1;7;5;1;0;3;38
200;J9;0;0;0;0;2;6;1;10;3;2;3;9
200;J10;8;5;10;4;9;5;2;0;0;0;9;9
200;J11;0;0;0;0;0;0;0;0;0;4;9;35
200;J12;0;2;0;0;0;0;0;0;0;0;4;47
200;J13;0;0;2;9;3;7;6;0;0;0;3;3
200;J14;2;10;6;4;2;4;5;4;0;0;6;18
200;J15;0;0;4;7;2;6;2;10;9;4;10;44
200;J16;2;8;0;0;0;0;0;0;0;0;2;4
200;J17;0;0;5;0;0;0;0;0;0;0;1;32
200;J18;0;0;0;8;10;0;0;0;0;0;5;17
200;J19;0;0;0;0;0;6;0;0;0;0;6;8
200;J20;3;6;5;8;9;8;8;0;0;0;9;29

