Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;PROC;SETUP
196;J1;6;8;2;1;10;6;10;8;9;5;2;126
196;J2;0;10;10;9;4;8;4;6;4;2;8;156
196;J3;6;9;4;10;7;6;4;0;0;0;5;56
196;J4;0;0;0;0;0;0;0;6;9;9;1;19
196;J5;1;3;0;0;0;0;0;0;0;0;3;134
196;J6;0;0;0;0;0;0;0;0;0;5;7;74
196;J7;4;6;3;8;9;6;0;0;0;0;1;151
196;J8;0;0;0;0;0;0;4;10;5;0;1;125
196;J9;0;0;8;9;5;8;1;8;2;1;8;152
196;J10;4;10;6;7;7;7;9;4;4;0;5;28
196;J11;0;3;4;1;9;8;2;5;8;1;1;171
196;J12;6;2;4;10;0;0;0;0;0;0;2;181
196;J13;0;0;0;0;9;4;7;4;9;4;6;84
196;J14;3;10;6;0;0;0;0;0;0;0;7;163
196;J15;0;0;0;0;7;3;3;3;1;2;6;105
196;J16;1;10;1;2;4;7;0;0;0;0;1;153
196;J17;3;7;0;0;0;0;0;0;0;0;4;190
196;J18;0;0;0;0;0;0;0;0;0;2;10;190
196;J19;8;4;5;4;3;8;9;0;0;0;7;154
196;J20;0;0;0;0;0;0;0;1;7;6;3;14

