Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;PROC;SETUP
193;J1;6;3;1;1;4;2;8;3;5;1;2;50
193;J2;9;10;1;0;0;0;0;0;0;0;4;28
193;J3;0;0;0;0;0;0;0;0;0;8;9;197
193;J4;9;3;7;5;9;9;0;0;0;0;9;14
193;J5;8;8;9;5;9;3;6;4;1;9;1;36
193;J6;0;0;0;0;8;6;9;4;10;4;8;133
193;J7;3;5;8;1;6;2;0;0;0;0;5;76
193;J8;0;0;6;10;6;8;10;10;2;7;1;119
193;J9;5;3;0;0;0;0;0;0;0;0;1;21
193;J10;6;2;3;9;0;0;3;0;0;0;2;3
193;J11;0;0;6;7;6;8;1;5;6;3;3;18
193;J12;5;4;7;5;3;10;2;0;0;0;9;107
193;J13;0;0;0;0;0;0;0;2;3;0;4;44
193;J14;7;0;0;0;0;0;0;0;0;0;6;182
193;J15;0;7;6;5;1;10;10;9;6;3;2;37
193;J16;7;1;1;8;0;0;0;0;0;0;9;118
193;J17;0;0;0;0;2;0;0;0;0;0;7;109
193;J18;4;9;6;6;2;10;0;0;0;0;6;175
193;J19;0;0;0;0;2;4;4;9;4;6;10;11
193;J20;1;3;8;7;1;5;10;0;0;0;7;187

