Exp;Job;O1;02;03;04;05;O6;07;08;09;010;PROC;SETUP
181;J1;3;4;0;0;0;0;0;0;0;0;5;149
181;J2;0;0;0;0;0;6;2;4;1;10;1;136
181;J3;8;8;3;6;10;0;0;0;0;0;3;3
181;J4;0;0;0;0;0;0;0;0;0;7;9;76
181;J5;4;8;5;10;6;0;0;0;0;0;10;145
181;J6;4;9;9;7;10;5;8;10;2;1;5;138
181;J7;0;0;7;4;1;9;3;10;5;1;3;115
181;J8;6;0;0;0;0;0;0;0;0;0;4;31
181;J9;0;0;0;0;0;0;0;0;2;7;5;84
181;J10;2;2;3;5;5;9;7;6;0;0;8;26
181;J11;0;0;0;0;0;0;0;2;10;4;1;13
181;J12;6;5;5;6;6;3;0;0;0;0;5;89
181;J13;0;0;0;0;0;0;4;10;10;2;8;59
181;J14;7;0;0;0;0;0;0;0;0;0;2;133
181;J15;0;0;0;0;0;0;0;0;9;1;1;103
181;J16;2;4;6;1;4;1;0;0;0;0;7;142
181;J17;0;0;0;0;0;0;0;1;3;10;10;42
181;J18;3;7;10;2;6;5;3;7;0;0;7;55
181;J19;0;0;0;0;0;0;10;2;5;10;7;109
181;J20;9;3;4;7;6;1;4;4;0;0;4;58

