Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;PROC;SETUP
197;J1;0;0;0;0;0;0;6;9;5;3;1;33
197;J2;5;7;0;0;0;0;0;0;0;0;7;0
197;J3;0;0;0;0;0;8;10;2;1;0;6;9
197;J4;9;4;1;5;2;3;8;9;10;9;1;31
197;J5;0;0;0;0;0;0;0;0;0;1;5;25
197;J6;5;7;8;0;0;0;0;0;0;0;2;49
197;J7;0;0;0;0;0;0;0;0;0;6;3;32
197;J8;6;1;8;9;0;0;0;0;0;0;2;30
197;J9;6;2;3;0;0;0;0;0;0;0;2;39
197;J10;0;9;6;8;8;10;8;8;6;1;2;29
197;J11;0;0;0;0;0;0;0;0;0;1;2;27
197;J12;1;9;2;9;0;0;0;0;0;0;5;24
197;J13;0;0;7;5;8;6;9;5;3;6;3;47
197;J14;4;7;3;8;5;3;9;8;7;5;5;15
197;J15;1;8;1;7;3;9;5;3;8;6;10;35
197;J16;3;9;6;0;0;0;0;0;0;0;10;33
197;J17;4;10;10;3;9;7;7;6;2;6;5;24
197;J18;4;5;8;8;7;3;5;2;5;8;5;43
197;J19;4;2;5;3;10;0;0;0;0;0;2;29
197;J20;0;0;0;0;9;5;1;5;7;1;2;29

