Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;PROC;SETUP
189;J1;5;8;6;8;0;0;0;0;0;0;6;73
189;J2;0;5;8;9;1;5;3;1;9;2;8;59
189;J3;6;9;8;10;7;1;9;0;0;0;3;86
189;J4;0;2;2;7;5;4;1;9;4;7;3;87
189;J5;4;6;5;0;0;0;0;0;0;0;4;89
189;J6;0;0;0;0;0;0;0;0;9;7;2;36
189;J7;5;2;4;8;8;6;0;0;0;0;1;8
189;J8;4;3;2;7;10;2;6;10;3;3;6;76
189;J9;0;4;3;6;9;3;3;7;9;7;6;33
189;J10;3;8;3;2;2;7;4;6;7;0;3;7
189;J11;0;0;0;0;0;0;0;0;9;10;9;96
189;J12;2;7;9;3;4;0;0;0;0;0;8;99
189;J13;0;0;9;2;3;3;7;8;10;9;5;84
189;J14;4;1;0;0;0;0;0;0;0;0;2;53
189;J15;0;0;0;0;0;8;7;5;3;10;4;31
189;J16;4;7;8;1;6;4;9;6;9;0;8;67
189;J17;0;0;0;3;2;6;1;9;6;7;3;5
189;J18;6;9;4;10;7;6;5;5;0;0;8;19
189;J19;0;0;0;5;1;4;6;8;9;7;8;11
189;J20;2;6;5;1;1;2;8;0;0;0;6;74

