Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;PROC;SETUP
192;J1;5;2;10;3;6;4;7;6;6;10;6;39
192;J2;0;0;0;0;0;0;0;0;0;1;3;58
192;J3;8;0;0;0;0;0;0;0;0;0;2;97
192;J4;3;1;4;9;1;8;6;9;5;0;2;63
192;J5;0;0;0;0;0;0;3;8;2;9;4;93
192;J6;5;1;0;0;0;0;0;0;0;0;1;45
192;J7;0;0;9;0;0;0;0;0;0;0;4;0
192;J8;7;10;9;7;9;9;8;0;0;0;3;2
192;J9;0;0;0;0;6;7;5;2;9;2;3;78
192;J10;10;5;9;9;4;2;9;1;0;0;7;93
192;J11;0;0;0;0;3;4;7;1;4;4;6;29
192;J12;4;6;2;9;2;4;10;0;0;0;4;91
192;J13;0;2;6;3;6;2;6;3;10;10;9;3
192;J14;2;8;3;7;1;2;9;3;8;0;2;29
192;J15;7;8;4;0;0;0;0;0;0;0;8;31
192;J16;0;0;7;2;10;6;10;2;3;2;7;74
192;J17;6;5;3;1;10;2;0;0;0;0;7;98
192;J18;0;0;0;0;0;5;9;1;10;1;3;61
192;J19;6;3;5;7;9;9;0;0;0;0;1;2
192;J20;0;0;10;3;6;2;2;3;4;9;7;18

