Exp;Job;O1;02;03;04;05;O6;07;08;09;010;PROC;SETUP
185;J1;10;3;8;5;0;0;0;0;0;0;2;45
185;J2;0;0;0;0;0;0;0;1;8;9;5;18
185;J3;6;9;0;0;0;0;0;0;0;0;7;24
185;J4;0;0;0;0;10;6;7;4;2;4;7;46
185;J5;7;0;0;0;0;0;0;0;0;0;8;18
185;J6;0;7;10;2;0;0;0;0;0;0;4;83
185;J7;0;0;0;0;8;0;0;0;0;0;6;45
185;J8;10;4;7;10;8;4;1;0;0;0;8;17
185;J9;0;0;0;0;0;0;0;0;0;1;10;6
185;J10;5;0;0;0;0;0;0;0;0;0;1;36
185;J11;0;9;7;0;0;0;0;0;0;0;10;50
185;J12;4;5;4;6;10;1;0;0;0;0;7;9
185;J13;0;0;2;9;3;2;3;1;5;9;3;42
185;J14;3;9;8;2;3;7;6;1;0;0;1;32
185;J15;0;0;0;9;4;2;5;3;6;2;7;100
185;J16;8;9;8;9;5;8;6;0;0;0;1;60
185;J17;0;0;4;9;4;8;7;10;4;2;6;96
185;J18;1;3;5;1;8;0;0;0;0;0;2;59
185;J19;0;0;0;0;0;0;0;0;3;8;9;83
185;J20;9;6;2;8;0;0;0;0;0;0;6;5

