Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;PROC;SETUP
182;J1;1;5;6;7;0;0;0;0;0;0;4;95
182;J2;0;0;0;0;0;0;6;4;8;3;9;28
182;J3;10;7;1;4;9;1;8;3;0;0;7;60
182;J4;0;0;10;7;10;6;7;4;9;6;6;3
182;J5;10;6;3;6;7;3;7;6;2;0;6;75
182;J6;0;0;0;3;9;8;4;10;6;5;4;76
182;J7;10;1;0;0;0;0;0;0;0;0;4;94
182;J8;0;0;0;0;0;0;0;0;6;8;5;24
182;J9;1;0;0;0;0;0;0;0;0;0;10;58
182;J10;6;8;8;5;8;9;0;0;0;0;5;60
182;J11;0;0;0;0;0;0;5;4;4;8;3;25
182;J12;7;9;3;5;4;7;10;10;4;0;3;32
182;J13;0;0;0;0;0;9;5;5;2;7;6;92
182;J14;4;3;8;3;5;6;1;10;0;0;1;44
182;J15;0;0;0;0;0;3;7;7;8;5;2;26
182;J16;10;1;8;6;1;5;10;2;0;0;10;78
182;J17;0;0;0;0;4;6;9;3;6;3;4;92
182;J18;7;9;4;4;4;10;9;0;0;0;6;81
182;J19;0;0;0;0;0;0;5;2;8;8;6;3
182;J20;3;3;6;3;2;0;0;0;0;0;3;46

