Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;PROC;SETUP
186;J1;3;1;10;8;0;0;0;0;0;0;4;48
186;J2;4;8;4;8;9;9;3;6;2;5;8;28
186;J3;0;10;5;3;9;2;6;9;5;1;7;87
186;J4;4;9;10;9;10;0;0;0;0;0;3;95
186;J5;0;3;5;7;3;1;7;9;10;8;3;53
186;J6;1;10;4;3;10;10;8;10;6;8;4;55
186;J7;3;0;0;0;0;0;0;0;0;0;10;62
186;J8;0;0;0;0;0;0;2;8;10;2;8;94
186;J9;3;5;8;5;10;0;0;0;0;0;2;48
186;J10;0;0;0;0;0;0;0;0;8;4;9;6
186;J11;6;4;10;5;10;0;0;0;0;0;9;96
186;J12;0;0;0;0;0;8;6;5;8;2;1;86
186;J13;9;1;5;8;2;4;8;0;0;0;7;7
186;J14;0;0;0;0;0;8;5;4;10;10;4;43
186;J15;2;9;1;8;2;4;5;0;0;0;5;53
186;J16;0;0;0;10;6;9;5;6;10;5;6;24
186;J17;10;3;4;9;4;5;10;0;0;0;4;74
186;J18;10;10;3;4;9;4;2;10;3;2;4;37
186;J19;3;2;0;0;0;0;0;0;0;0;8;96
186;J20;0;0;0;0;0;0;0;2;10;8;9;26

