Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;PROC;SETUP
179;J1;8;5;3;0;0;0;0;0;0;0;6;48
179;J2;0;0;0;9;9;5;4;8;6;1;5;48
179;J3;8;0;0;0;0;0;0;0;0;0;6;16
179;J4;0;7;1;2;0;0;0;0;0;0;8;15
179;J5;0;0;0;0;10;2;0;0;0;0;8;10
179;J6;2;10;1;5;5;4;1;2;0;0;10;33
179;J7;0;0;0;0;0;0;0;0;8;0;1;26
179;J8;5;10;4;8;8;7;7;7;6;4;7;15
179;J9;0;5;4;4;10;1;3;2;10;1;1;48
179;J10;8;3;7;10;9;8;2;7;4;0;10;2
179;J11;0;0;0;7;4;9;2;5;6;10;1;45
179;J12;2;3;2;4;3;0;0;0;0;0;4;47
179;J13;3;2;6;7;10;10;6;9;1;7;9;33
179;J14;0;0;0;0;0;0;0;0;0;5;5;5
179;J15;2;9;10;4;5;3;4;10;0;0;7;23
179;J16;0;0;0;0;0;0;0;3;8;2;4;25
179;J17;5;9;8;8;0;0;0;0;0;0;10;48
179;J18;0;0;6;9;5;1;10;1;0;0;9;40
179;J19;0;0;0;0;0;0;0;0;6;3;2;35
179;J20;8;2;9;1;4;2;5;0;0;0;3;6

