Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;PROC;SETUP
176;J1;6;7;3;3;7;9;4;8;6;0;3;66
176;J2;0;0;0;0;0;0;0;0;0;1;4;78
176;J3;9;8;6;9;4;10;1;9;4;4;2;52
176;J4;6;8;2;1;0;0;0;0;0;0;4;40
176;J5;0;0;0;0;10;3;4;9;4;4;1;51
176;J6;4;7;7;4;6;4;7;6;0;0;9;47
176;J7;0;0;9;7;10;10;9;10;6;4;7;0
176;J8;4;2;9;8;0;0;0;0;0;0;1;12
176;J9;0;0;0;0;0;0;0;0;10;7;5;34
176;J10;9;8;9;0;0;0;0;0;0;0;7;44
176;J11;0;0;0;0;0;6;4;1;6;2;4;62
176;J12;5;8;0;0;0;0;0;0;0;0;5;18
176;J13;0;0;0;0;0;0;0;0;0;6;4;75
176;J14;2;3;6;7;2;0;0;0;0;0;10;17
176;J15;0;1;7;6;10;7;2;1;2;3;4;38
176;J16;7;0;0;0;0;0;0;0;0;0;10;77
176;J17;4;10;2;4;3;9;5;8;1;7;3;54
176;J18;0;0;0;0;0;5;3;6;4;7;3;98
176;J19;10;5;0;0;0;0;0;0;0;0;5;75
176;J20;4;4;7;3;9;1;9;8;9;2;9;50

