Exp;Job;O1;02;03;04;05;O6;07;08;09;010;PROC;SETUP
183;J1;2;6;0;0;0;0;0;0;0;0;4;184
183;J2;0;0;0;0;0;0;0;0;4;5;2;59
183;J3;4;4;5;7;1;5;0;0;0;0;3;116
183;J4;0;0;0;0;2;5;10;4;2;1;5;187
183;J5;9;10;5;0;0;0;0;0;0;0;2;174
183;J6;0;0;0;3;7;6;7;10;10;6;2;193
183;J7;3;5;7;7;9;7;0;0;0;0;8;44
183;J8;0;0;0;9;5;1;1;7;10;8;5;90
183;J9;9;8;10;2;0;0;0;0;0;0;2;40
183;J10;1;9;7;8;1;2;5;7;5;5;1;14
183;J11;0;0;0;0;0;2;8;5;10;5;6;4
183;J12;9;6;1;7;10;3;10;0;0;0;1;157
183;J13;0;0;0;0;0;0;0;9;3;8;6;60
183;J14;5;10;8;5;6;5;7;2;7;0;6;169
183;J15;0;0;0;6;1;2;10;0;0;0;5;38
183;J16;5;0;0;0;0;0;0;0;0;0;4;137
183;J17;4;3;5;9;9;7;0;0;0;0;7;158
183;J18;0;0;0;9;10;2;4;5;8;10;9;6
183;J19;6;8;0;0;0;0;0;0;0;0;10;150
183;J20;1;5;8;3;9;1;5;4;10;0;6;178

