Exp;Job;O1;02;03;04;05;O6;07;08;09;010;PROC;SETUP
195;J1;7;1;2;7;1;0;0;0;0;0;4;38
195;J2;0;0;0;0;0;0;0;0;1;10;4;26
195;J3;4;2;5;6;9;0;0;0;0;0;4;9
195;J4;0;0;1;3;2;6;6;1;1;9;3;44
195;J5;9;9;3;8;3;8;0;0;0;0;1;7
195;J6;6;3;10;10;1;6;9;5;4;10;6;15
195;J7;0;0;0;0;0;0;0;0;0;3;10;9
195;J8;2;0;0;0;0;0;0;0;0;0;5;28
195;J9;0;6;6;7;6;5;9;9;8;8;9;7
195;J10;1;4;2;8;2;1;6;10;0;0;3;40
195;J11;0;0;0;0;6;2;8;10;6;9;3;25
195;J12;10;3;0;0;0;0;0;0;0;0;4;14
195;J13;0;0;0;0;6;4;5;6;8;1;2;2
195;J14;8;0;0;0;0;0;0;0;0;0;1;14
195;J15;0;0;0;10;4;1;1;6;2;1;3;15
195;J16;8;3;4;9;3;6;10;8;0;0;3;50
195;J17;0;0;4;5;1;7;6;6;6;8;10;19
195;J18;3;6;7;9;1;4;7;2;4;5;6;41
195;J19;10;0;0;0;0;0;0;0;0;0;8;34
195;J20;0;6;0;0;0;0;0;0;0;0;3;26

