Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;PROC;SETUP
190;J1;3;7;1;0;0;0;0;0;0;0;8;11
190;J2;0;0;0;10;3;2;6;4;4;10;9;52
190;J3;6;4;5;1;3;4;9;0;0;0;7;117
190;J4;0;0;0;0;0;0;0;3;3;5;8;144
190;J5;4;10;4;6;2;2;9;8;10;0;8;123
190;J6;0;0;3;4;10;3;1;10;2;8;8;115
190;J7;7;4;5;7;0;0;0;0;0;0;10;180
190;J8;0;0;0;0;0;0;1;9;8;7;10;155
190;J9;9;5;5;2;7;6;0;0;0;0;3;169
190;J10;0;0;0;0;0;0;0;0;0;1;3;67
190;J11;2;4;2;2;4;0;0;0;0;0;5;99
190;J12;0;0;0;0;0;0;0;0;0;2;10;53
190;J13;5;8;8;2;0;0;0;0;0;0;5;8
190;J14;1;7;1;5;1;5;1;5;7;10;2;74
190;J15;8;0;0;0;0;0;0;0;0;0;6;172
190;J16;5;6;7;2;4;5;3;6;3;6;10;152
190;J17;0;0;0;9;6;8;1;7;10;2;10;177
190;J18;8;1;2;10;2;4;8;1;6;10;6;58
190;J19;1;3;1;8;5;2;0;0;0;0;3;148
190;J20;0;0;6;2;7;6;8;5;1;6;5;7

