Exp;Job;O1;02;03;04;05;O6;07;08;09;010;PROC;SETUP
184;J1;7;1;10;10;1;1;2;10;0;0;9;118
184;J2;0;7;3;6;7;9;10;1;6;7;4;144
184;J3;8;2;10;2;3;9;6;7;4;6;9;148
184;J4;2;5;7;5;8;0;0;0;0;0;9;126
184;J5;0;0;0;0;2;8;7;8;1;6;10;130
184;J6;3;4;10;1;0;0;0;0;0;0;6;114
184;J7;0;0;0;0;0;0;10;1;7;3;7;29
184;J8;1;8;5;10;5;7;0;0;0;0;9;28
184;J9;0;0;0;0;0;0;0;10;8;6;1;88
184;J10;9;0;0;0;0;0;0;0;0;0;9;103
184;J11;0;0;0;0;0;0;0;0;0;3;1;69
184;J12;3;9;7;1;7;8;0;0;0;0;2;116
184;J13;0;4;8;1;9;2;10;8;2;8;1;43
184;J14;4;0;0;0;0;0;0;0;0;0;7;58
184;J15;9;1;7;7;5;9;0;0;0;0;1;143
184;J16;0;0;0;0;8;6;8;9;10;5;10;102
184;J17;9;3;0;0;0;0;0;0;0;0;7;64
184;J18;5;5;9;2;8;6;6;6;3;8;1;59
184;J19;0;0;0;0;0;0;0;0;0;9;2;50
184;J20;6;10;3;6;4;0;0;0;0;0;9;78

