Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;PROC;SETUP
188;J1;10;10;1;6;9;3;7;4;0;0;10;97
188;J2;0;0;0;0;8;4;9;3;7;4;10;102
188;J3;4;1;5;0;0;0;0;0;0;0;8;59
188;J4;0;0;0;0;2;5;6;6;6;10;6;101
188;J5;10;4;5;10;3;5;0;0;0;0;3;141
188;J6;10;9;2;5;2;8;3;6;3;10;1;149
188;J7;0;0;4;2;2;7;6;2;9;7;3;21
188;J8;9;1;5;4;5;2;5;2;9;0;4;14
188;J9;9;3;1;2;2;5;5;3;9;9;6;139
188;J10;1;6;5;0;0;0;0;0;0;0;9;134
188;J11;0;0;0;0;0;0;0;0;0;2;9;113
188;J12;3;5;3;1;5;9;8;0;0;0;3;148
188;J13;0;0;0;0;0;0;3;4;8;1;10;82
188;J14;4;1;6;0;0;0;0;0;0;0;4;12
188;J15;0;0;0;0;6;1;6;1;5;10;6;23
188;J16;5;3;9;0;0;0;0;0;0;0;10;92
188;J17;7;1;5;8;7;7;3;7;10;1;9;24
188;J18;0;0;0;0;0;0;5;9;1;5;7;0
188;J19;6;7;4;9;8;1;0;0;0;0;1;58
188;J20;0;0;0;0;0;0;3;3;1;9;8;99

