Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;PROC;SETUP
238;J1;0;8;0;3;0;7;5;0;0;2;8;0;0;0;0;8;7
239;J2;6;4;0;0;0;0;0;7;9;1;6;8;1;0;0;9;91
239;J3;0;0;9;0;5;7;0;0;0;0;3;9;4;0;1;4;46
239;J4;6;4;1;7;2;0;8;3;0;5;0;4;3;0;0;3;37
239;J5;0;0;0;7;0;5;4;0;0;0;0;0;6;4;7;3;49
239;J6;3;7;3;8;0;0;0;0;0;0;9;3;2;7;8;6;63
239;J7;3;3;5;6;5;5;3;3;9;7;4;2;2;3;5;10;38
239;J8;5;1;7;8;5;0;0;0;0;0;7;4;5;0;0;7;100
239;J9;4;4;2;8;2;0;4;0;3;5;0;0;0;0;0;7;79
239;J10;6;0;4;7;0;0;0;0;0;2;1;3;0;7;6;8;1

