Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;PROC;SETUP
243;J1;0;0;0;4;0;1;0;0;0;0;10;7;0;0;0;8;128
243;J2;8;9;6;10;6;5;0;6;8;0;0;0;6;8;10;9;34
243;J3;6;5;4;0;0;0;4;5;3;8;0;0;9;0;0;10;178
243;J4;0;0;0;9;6;0;2;9;1;3;0;0;0;5;9;1;136
243;J5;0;7;8;0;0;0;0;3;5;6;0;0;6;0;0;8;12
243;J6;0;0;0;3;2;10;9;9;3;9;9;0;0;0;0;4;44
243;J7;5;5;8;2;3;0;0;9;5;6;3;6;0;0;0;10;26
243;J8;0;2;8;0;7;3;5;4;3;2;4;8;6;2;0;7;186
243;J9;4;6;1;8;7;5;1;4;7;1;0;0;6;0;2;5;155
243;J10;0;0;2;0;0;0;3;4;2;2;9;4;1;5;1;7;154

