Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;PROC;SETUP
236;J1;3;8;0;0;5;9;2;0;0;4;8;4;10;1;4;10;8
236;J2;7;1;3;5;6;0;0;10;8;0;8;8;10;10;8;1;29
236;J3;0;0;5;4;0;0;0;0;0;0;0;0;8;5;10;7;32
236;J4;0;0;0;6;3;8;0;7;0;0;10;1;0;0;0;8;42
236;J5;9;7;2;3;0;0;0;0;8;4;0;1;10;4;6;9;6
236;J6;4;1;2;8;0;6;5;10;8;2;8;5;0;0;0;3;1
236;J7;6;0;2;0;1;6;6;10;1;10;4;10;2;4;9;2;18
236;J8;3;4;3;0;0;0;0;0;0;0;2;1;0;0;4;2;44
236;J9;8;5;10;5;7;7;5;2;4;7;6;2;0;0;0;9;5
236;J10;5;1;1;1;2;3;7;9;9;6;7;9;2;2;5;5;3

