Exp;Job;O1;02;03;04;05;O6;07;08;09;010;O11;012;013;014;015;PROC;SETUP
245;J1;1;1;8;3;3;4;6;5;6;0;0;0;10;0;0;1;110
245;J2;0;1;6;0;2;0;5;0;0;0;0;5;9;6;0;2;57
245;J3;7;10;1;8;10;8;10;8;8;10;5;0;0;0;0;6;1
245;J4;3;1;4;0;0;0;0;0;9;8;0;0;7;0;6;3;13
245;J5;0;0;0;4;0;0;1;0;0;0;0;5;0;0;0;1;136
245;J6;3;0;2;4;0;8;4;2;8;10;6;5;3;10;6;8;76
245;J7;0;4;0;6;0;0;0;0;0;0;0;1;8;10;6;3;80
245;J8;4;0;0;0;0;0;0;0;2;1;0;0;0;0;0;10;37
245;J9;0;0;3;1;6;0;0;0;0;0;0;0;0;0;6;5;88
245;J10;0;8;0;4;0;2;3;6;5;4;7;3;6;5;0;8;35

