Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;PROC;SETUP
234;J1;0;0;0;0;4;9;0;0;0;0;9;5;6;9;5;2;124
234;J2;0;0;4;3;0;0;0;0;0;0;0;10;10;9;7;3;67
234;J3;0;0;0;0;4;5;2;0;0;0;3;4;2;1;0;1;72
234;J4;8;7;0;0;0;0;0;0;0;0;10;3;0;5;8;6;129
234;J5;0;0;0;0;0;0;4;1;10;5;0;1;9;2;7;7;56
234;J6;1;0;0;0;0;6;6;8;0;0;6;9;2;5;10;2;86
234;J7;4;3;7;0;0;0;0;0;0;4;0;0;0;0;0;2;48
234;J8;2;9;0;3;0;1;6;10;2;1;9;0;0;0;0;10;28
234;J9;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2;6;2
234;J10;4;7;3;6;3;6;5;0;1;0;0;0;0;0;0;5;80

