Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;PROC;SETUP
250;J1;2;3;0;0;3;4;7;9;1;0;0;0;10;0;0;8;2
250;J2;8;0;3;5;6;0;9;2;0;7;8;7;0;0;0;8;12
250;J3;4;3;2;0;4;1;3;0;3;6;0;0;5;2;9;7;22
250;J4;0;0;0;3;0;0;0;0;0;0;8;0;4;3;0;7;45
250;J5;2;3;0;0;6;0;1;5;0;0;0;5;7;1;10;3;23
250;J6;0;2;0;0;0;0;0;0;2;6;10;0;0;0;0;3;8
250;J7;2;9;4;2;0;0;0;0;0;0;0;0;0;2;0;4;23
250;J8;6;1;3;0;0;0;0;3;7;4;9;6;3;2;1;7;40
250;J9;0;0;6;0;4;10;5;9;1;3;2;1;4;9;4;7;27
250;J10;4;0;0;5;2;9;1;4;5;5;2;9;0;0;0;4;11

