Exp;Job;O1;02;03;04;05;O6;07;08;09;010;O11;012;013;014;015;PROC;SETUP
239;J1;9;6;1;8;10;8;0;1;2;7;0;1;2;4;0;2;70
239;J2;0;4;7;0;10;8;0;2;0;6;6;9;4;0;0;6;48
239;J3;5;4;1;7;1;2;2;0;4;0;0;4;5;2;10;8;37
239;J4;0;0;0;3;9;8;0;0;0;0;3;0;0;0;1;10;52
239;J5;6;9;0;0;3;0;0;4;0;5;5;8;1;1;5;5;22
239;J6;3;0;4;1;0;2;2;3;4;8;10;6;2;6;6;8;41
239;J7;1;8;5;8;1;2;5;2;1;8;8;0;0;0;0;6;139
239;J8;0;0;0;5;8;2;10;9;7;10;8;5;9;1;0;7;89
239;J9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;4;41
239;J10;3;0;0;0;1;2;8;4;6;7;0;0;0;0;1;6;31

