Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;O16;O17;O18;O19;O20;PROC;SETUP
390;J1;3;7;4;3;4;0;0;8;0;3;7;9;8;2;5;3;0;0;0;0;10;108
390;J2;5;4;10;8;1;0;0;0;0;0;3;4;7;3;5;0;0;5;2;0;5;123
390;J3;0;0;0;0;0;3;0;0;0;0;0;0;4;5;0;8;0;1;10;4;9;49
390;J4;0;0;0;0;0;0;3;0;0;0;0;9;0;0;0;8;10;9;2;6;8;25
390;J5;9;6;5;9;3;6;10;7;0;0;1;8;0;8;9;0;5;3;0;0;3;115
390;J6;2;0;0;0;0;0;0;0;0;9;5;9;6;2;2;8;7;10;2;3;1;181
390;J7;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;4;50
390;J8;2;7;10;2;2;0;1;0;0;0;0;0;0;0;0;3;7;8;4;0;6;180
390;J9;2;2;6;3;9;3;5;0;4;6;0;0;0;0;0;5;3;4;0;0;8;13
390;J10;0;4;1;4;3;2;3;4;0;6;0;0;0;5;7;0;0;0;10;0;10;41
390;J11;0;0;9;10;0;0;0;0;0;0;0;6;10;0;0;8;5;10;5;10;1;89
390;J12;2;0;0;0;0;0;0;0;0;0;3;4;10;2;8;3;0;0;0;0;5;73
390;J13;4;5;9;3;0;0;0;0;1;4;0;0;0;9;5;6;1;7;0;3;10;2
390;J14;0;0;0;3;4;5;2;0;0;0;9;8;8;4;7;0;0;3;4;9;4;38
390;J15;0;0;0;0;0;0;0;3;0;0;4;0;0;0;0;2;1;0;0;0;3;68
390;J16;3;7;4;3;4;0;0;8;0;3;7;9;8;2;5;0;0;2;0;0;10;108
390;J17;5;4;10;8;1;0;0;0;0;0;3;4;7;3;5;0;0;0;0;7;5;123
390;J18;0;0;0;0;0;3;0;0;0;0;0;0;4;5;0;0;5;4;0;0;9;49
390;J19;0;0;0;0;0;0;3;0;0;0;0;9;0;0;0;5;9;10;8;8;8;25
390;J20;9;6;5;9;3;6;10;7;0;0;1;8;0;8;9;0;0;6;5;4;3;115

