Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;O16;O17;O18;O19;O20;PROC;SETUP
384;J1;0;0;0;0;4;9;0;0;0;0;9;5;6;9;5;0;0;3;0;0;2;124
384;J2;0;0;4;3;0;0;0;0;0;0;0;10;10;9;7;3;2;0;0;0;3;67
384;J3;0;0;0;0;4;5;2;0;0;0;3;4;2;1;0;0;6;8;2;6;1;72
384;J4;8;7;0;0;0;0;0;0;0;0;10;3;0;5;8;0;2;4;0;0;6;129
384;J5;0;0;0;0;0;0;4;1;10;5;0;1;9;2;7;5;4;0;1;6;7;56
384;J6;1;0;0;0;0;6;6;8;0;0;6;9;2;5;10;9;4;2;5;3;2;86
384;J7;4;3;7;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;2;48
384;J8;2;9;0;3;0;1;6;10;2;1;9;0;0;0;0;6;9;5;0;8;10;28
384;J9;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;6;2
384;J10;4;7;3;6;3;6;5;0;1;0;0;0;0;0;0;7;3;1;6;4;5;80
384;J11;5;4;0;0;0;0;0;0;0;0;9;3;10;8;2;0;4;7;10;9;1;3
384;J12;7;9;0;0;0;5;3;10;2;4;5;6;5;2;6;5;6;8;7;1;6;33
384;J13;0;4;0;8;3;0;6;0;0;0;0;5;9;7;0;8;3;9;5;8;6;39
384;J14;0;0;7;3;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;4;6;3
384;J15;1;10;3;3;4;6;0;0;8;4;0;0;1;5;4;6;1;1;6;0;1;23
384;J16;0;0;0;0;4;9;0;0;0;0;9;5;6;9;5;2;8;5;0;6;2;124
384;J17;0;0;4;3;0;0;0;0;0;0;0;10;10;9;7;3;0;0;4;0;3;67
384;J18;0;0;0;0;4;5;2;0;0;0;3;4;2;1;0;10;5;8;4;10;1;72
384;J19;8;7;0;0;0;0;0;0;0;0;10;3;0;5;8;10;4;6;1;5;6;129
384;J20;0;0;0;0;0;0;4;1;10;5;0;1;9;2;7;3;0;0;0;1;7;56

