Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;O16;O17;O18;O19;O20;PROC;SETUP
382;J1;0;0;0;8;2;1;0;0;0;0;1;5;0;4;8;0;0;5;0;0;9;35
382;J2;7;2;7;5;7;9;4;5;5;3;5;5;4;10;4;0;7;3;0;4;6;49
382;J3;2;6;0;1;5;0;0;0;0;0;0;5;6;9;0;10;2;9;8;5;7;7
382;J4;2;1;8;6;9;0;6;9;7;2;7;6;0;0;0;2;0;0;0;0;6;18
382;J5;0;0;0;5;2;6;10;0;0;0;0;0;10;8;5;0;0;0;1;0;3;0
382;J6;4;10;0;1;3;6;3;0;0;0;0;0;0;0;0;0;4;6;0;0;1;48
382;J7;0;0;3;1;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;4;10;43
382;J8;4;0;0;0;0;0;7;5;6;4;9;0;0;0;0;0;10;7;3;1;10;24
382;J9;2;9;9;9;7;1;5;8;7;9;10;10;8;8;5;5;4;2;10;0;9;17
382;J10;9;8;0;2;8;3;5;10;5;9;7;4;9;0;0;8;2;10;2;5;7;28
382;J11;0;0;6;0;9;4;0;0;5;3;0;0;9;0;0;1;2;8;2;1;2;31
382;J12;0;0;0;1;8;4;5;0;0;0;0;4;8;0;0;4;9;8;3;0;9;12
382;J13;2;1;3;9;1;6;0;5;0;0;3;7;0;8;0;0;0;8;1;0;6;37
382;J14;3;5;9;4;6;1;3;8;10;0;0;0;0;0;2;0;1;0;0;3;5;199
382;J15;5;2;9;6;7;10;0;5;0;8;0;0;0;0;7;2;5;0;1;0;3;129
382;J16;0;0;0;8;2;1;0;0;0;0;1;5;0;4;8;6;2;10;8;0;9;35
382;J17;7;2;7;5;7;9;4;5;5;3;5;5;4;10;4;0;0;0;2;5;6;49
382;J18;2;6;0;1;5;0;0;0;0;0;0;5;6;9;0;4;0;0;0;8;7;7
382;J19;2;1;8;6;9;0;6;9;7;2;7;6;0;0;0;0;8;2;1;3;6;18
382;J20;0;0;0;5;2;6;10;0;0;0;0;0;10;8;5;0;6;4;4;5;3;0

