Exp;Job;O1;02;03;04;05;O6;07;08;09;010;O11;012;013;014;015;O16;017;018;019;020;PROC;SETUP
383;J1;0;0;6;0;9;4;0;0;5;3;0;0;9;0;0;2;3;0;5;0;2;31
383;J2;0;0;0;1;8;4;5;0;0;0;0;4;8;0;0;1;0;8;3;4;9;12
383;J3;2;1;3;9;1;6;0;5;0;0;3;7;0;8;0;0;5;0;1;4;6;37
383;J4;3;5;9;4;6;1;3;8;10;0;0;0;0;0;2;6;0;0;4;1;5;199
383;J5;5;2;9;6;7;10;0;5;0;8;0;0;0;0;7;6;7;8;0;0;3;129
383;J6;1;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;3;0;0;0;7;38
383;J7;0;0;0;0;2;0;0;0;5;2;5;6;4;4;3;1;10;10;7;4;9;43
383;J8;2;0;4;0;0;0;0;5;10;8;9;3;1;5;9;8;3;6;7;0;10;7
383;J9;0;3;0;2;0;10;4;7;0;0;0;0;0;0;0;3;5;7;5;4;3;21
383;J10;5;7;0;1;8;0;0;0;0;5;2;4;0;0;0;9;4;7;0;0;8;5
383;J11;0;0;0;0;4;9;0;0;0;0;9;5;6;9;5;0;0;0;0;1;2;124
383;J12;0;0;4;3;0;0;0;0;0;0;0;10;10;9;7;0;1;8;6;5;3;67
383;J13;0;0;0;0;4;5;2;0;0;0;3;4;2;1;0;8;1;9;0;1;1;72
383;J14;8;7;0;0;0;0;0;0;0;0;10;3;0;5;8;0;7;1;0;0;6;129
383;J15;0;0;0;0;0;0;4;1;10;5;0;1;9;2;7;1;3;0;0;4;7;56
383;J16;0;0;6;0;9;4;0;0;5;3;0;0;9;0;0;2;2;8;7;0;2;31
383;J17;0;0;0;1;8;4;5;0;0;0;0;4;8;0;0;0;2;1;4;0;9;12
383;J18;2;1;3;9;1;6;0;5;0;0;3;7;0;8;0;0;3;0;0;0;6;37
383;J19;3;5;9;4;6;1;3;8;10;0;0;0;0;0;2;6;6;5;7;4;5;199
383;J20;5;2;9;6;7;10;0;5;0;8;0;0;0;0;7;0;0;4;0;2;3;129

