Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;O16;O17;O18;O19;O20;PROC;SETUP
395;J1;1;1;8;3;3;4;6;5;6;0;0;0;10;0;0;0;10;9;1;6;1;110
395;J2;0;1;6;0;2;0;5;0;0;0;0;5;9;6;0;7;3;0;0;0;2;57
395;J3;7;10;1;8;10;8;10;8;8;10;5;0;0;0;0;0;0;9;6;0;6;1
395;J4;3;1;4;0;0;0;0;0;9;8;0;0;7;0;6;0;0;0;8;7;3;13
395;J5;0;0;0;4;0;0;1;0;0;0;0;5;0;0;0;3;0;0;0;0;1;136
395;J6;3;0;2;4;0;8;4;2;8;10;6;5;3;10;6;0;9;1;0;0;8;76
395;J7;0;4;0;6;0;0;0;0;0;0;0;1;8;10;6;0;8;10;1;6;3;80
395;J8;4;0;0;0;0;0;0;0;2;1;0;0;0;0;0;7;8;5;9;0;10;37
395;J9;0;0;3;1;6;0;0;0;0;0;0;0;0;0;6;0;0;0;0;4;5;88
395;J10;0;8;0;4;0;2;3;6;5;4;7;3;6;5;0;6;10;0;0;0;8;35
395;J11;0;4;0;2;0;0;0;0;6;0;3;2;4;7;8;7;6;0;5;9;7;93
395;J12;4;7;2;5;0;0;3;8;0;0;0;0;7;9;0;4;1;2;2;6;6;110
395;J13;0;0;0;0;7;6;1;0;0;0;0;0;9;0;0;0;3;0;0;0;1;26
395;J14;0;0;0;0;0;0;0;0;0;5;0;8;0;0;10;0;0;7;4;0;9;65
395;J15;4;0;0;2;5;0;0;0;0;0;4;10;0;8;4;2;3;7;1;0;3;111
395;J16;1;1;8;3;3;4;6;5;6;0;0;0;10;0;0;0;0;0;0;9;1;110
395;J17;0;1;6;0;2;0;5;0;0;0;0;5;9;6;0;8;0;0;0;0;2;57
395;J18;7;10;1;8;10;8;10;8;8;10;5;0;0;0;0;0;9;3;0;0;6;1
395;J19;3;1;4;0;0;0;0;0;9;8;0;0;7;0;6;1;4;0;7;3;3;13
395;J20;0;0;0;4;0;0;1;0;0;0;0;5;0;0;0;4;0;1;10;9;1;136

