Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;O16;O17;O18;O19;O20;PROC;SETUP
394;J1;0;0;1;4;0;0;0;0;0;0;0;0;0;5;10;0;4;5;3;0;9;53
394;J2;0;0;0;0;1;3;0;0;0;0;7;3;10;9;5;0;0;0;6;7;8;38
394;J3;4;3;7;8;1;10;1;3;6;0;4;3;6;10;0;1;2;8;10;1;8;47
394;J4;1;0;4;0;3;8;2;0;3;7;10;0;0;0;0;0;0;7;0;0;7;47
394;J5;0;4;0;0;0;1;0;0;3;2;9;0;8;10;0;1;3;0;0;6;3;54
394;J6;0;0;4;5;0;6;4;6;9;5;5;0;0;0;0;1;5;0;0;4;4;48
394;J7;0;4;0;1;7;0;8;2;7;8;7;8;2;1;5;0;0;8;9;1;8;84
394;J8;3;9;10;8;0;7;9;10;4;4;5;4;3;8;0;5;10;0;0;0;5;27
394;J9;0;0;0;2;0;0;0;0;0;0;0;0;0;0;5;0;0;10;4;3;9;68
394;J10;0;5;0;0;2;2;3;4;5;10;7;7;0;0;0;4;8;1;5;0;7;49
394;J11;1;1;8;3;3;4;6;5;6;0;0;0;10;0;0;0;1;4;9;1;1;110
394;J12;0;1;6;0;2;0;5;0;0;0;0;5;9;6;0;0;3;10;1;0;2;57
394;J13;7;10;1;8;10;8;10;8;8;10;5;0;0;0;0;0;0;0;4;6;6;1
394;J14;3;1;4;0;0;0;0;0;9;8;0;0;7;0;6;8;0;0;9;2;3;13
394;J15;0;0;0;4;0;0;1;0;0;0;0;5;0;0;0;6;2;9;0;0;1;136
394;J16;0;0;1;4;0;0;0;0;0;0;0;0;0;5;10;3;9;4;5;0;9;53
394;J17;0;0;0;0;1;3;0;0;0;0;7;3;10;9;5;0;8;5;3;0;8;38
394;J18;4;3;7;8;1;10;1;3;6;0;4;3;6;10;0;9;5;4;0;2;8;47
394;J19;1;0;4;0;3;8;2;0;3;7;10;0;0;0;0;4;9;5;10;10;7;47
394;J20;0;4;0;0;0;1;0;0;3;2;9;0;8;10;0;4;7;9;0;0;3;54

