Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;O16;O17;O18;O19;O20;PROC;SETUP
393;J1;0;0;0;4;0;1;0;0;0;0;10;7;0;0;0;1;3;8;0;0;8;128
393;J2;8;9;6;10;6;5;0;6;8;0;0;0;6;8;10;0;0;0;7;1;9;34
393;J3;6;5;4;0;0;0;4;5;3;8;0;0;9;0;0;9;2;7;0;0;10;178
393;J4;0;0;0;9;6;0;2;9;1;3;0;0;0;5;9;0;0;1;0;0;1;136
393;J5;0;7;8;0;0;0;0;3;5;6;0;0;6;0;0;9;2;3;7;3;8;12
393;J6;0;0;0;3;2;10;9;9;3;9;9;0;0;0;0;2;4;1;0;0;4;44
393;J7;5;5;8;2;3;0;0;9;5;6;3;6;0;0;0;0;2;0;6;9;10;26
393;J8;0;2;8;0;7;3;5;4;3;2;4;8;6;2;0;3;0;0;0;0;7;186
393;J9;4;6;1;8;7;5;1;4;7;1;0;0;6;0;2;0;0;8;6;4;5;155
393;J10;0;0;2;0;0;0;3;4;2;2;9;4;1;5;1;8;10;9;10;5;7;154
393;J11;0;0;1;4;0;0;0;0;0;0;0;0;0;5;10;9;5;3;1;10;9;53
393;J12;0;0;0;0;1;3;0;0;0;0;7;3;10;9;5;3;2;0;0;0;8;38
393;J13;4;3;7;8;1;10;1;3;6;0;4;3;6;10;0;0;0;3;8;9;8;47
393;J14;1;0;4;0;3;8;2;0;3;7;10;0;0;0;0;0;0;1;4;0;7;47
393;J15;0;4;0;0;0;1;0;0;3;2;9;0;8;10;0;5;2;1;7;4;3;54
393;J16;0;0;0;4;0;1;0;0;0;0;10;7;0;0;0;3;2;5;9;7;8;128
393;J17;8;9;6;10;6;5;0;6;8;0;0;0;6;8;10;0;0;0;0;4;9;34
393;J18;6;5;4;0;0;0;4;5;3;8;0;0;9;0;0;2;7;0;3;0;10;178
393;J19;0;0;0;9;6;0;2;9;1;3;0;0;0;5;9;8;9;2;1;0;1;136
393;J20;0;7;8;0;0;0;0;3;5;6;0;0;6;0;0;7;2;0;0;6;8;12

