Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;O16;O17;O18;O19;O20;PROC;SETUP
377;J1;0;0;0;0;0;0;0;0;2;3;0;0;9;6;0;0;0;0;0;3;6;60
377;J2;6;5;7;9;2;9;1;10;5;3;0;0;0;8;0;0;0;0;1;0;6;26
377;J3;0;6;2;0;1;4;0;0;0;0;7;6;1;5;10;5;1;10;4;2;7;37
377;J4;0;0;0;0;0;0;6;0;0;0;0;0;1;0;0;1;2;10;6;3;6;35
377;J5;0;0;0;0;0;0;0;3;0;0;0;6;1;0;0;5;8;6;2;6;7;79
377;J6;0;0;9;3;0;0;0;5;3;9;7;0;0;0;8;0;1;8;0;0;10;89
377;J7;3;0;3;8;0;2;8;4;3;0;0;7;5;0;0;10;3;6;1;2;2;75
377;J8;10;8;4;5;0;5;0;4;7;4;5;0;0;3;2;0;0;3;0;0;10;93
377;J9;0;0;0;0;9;0;0;0;0;2;1;10;4;5;0;7;3;4;2;8;6;50
377;J10;0;0;7;4;8;0;0;0;0;0;0;1;4;3;6;5;7;5;0;9;2;143
377;J11;2;0;5;1;0;0;0;0;0;0;0;0;4;5;0;3;1;0;0;2;1;18
377;J12;0;0;0;0;2;0;0;0;0;0;0;4;7;0;0;0;6;6;4;6;8;8
377;J13;0;0;0;0;0;5;3;7;1;0;7;5;6;5;1;1;2;4;3;0;10;44
377;J14;0;0;0;0;0;0;0;0;7;3;10;0;0;0;0;2;0;0;0;0;2;44
377;J15;6;7;6;3;8;7;7;4;0;0;0;6;4;5;0;3;0;4;0;2;5;6
377;J16;0;0;0;0;0;0;0;0;2;3;0;0;9;6;0;0;0;0;5;6;6;60
377;J17;6;5;7;9;2;9;1;10;5;3;0;0;0;8;0;3;0;9;6;0;6;26
377;J18;0;6;2;0;1;4;0;0;0;0;7;6;1;5;10;1;2;1;5;3;7;37
377;J19;0;0;0;0;0;0;6;0;0;0;0;0;1;0;0;2;0;0;0;3;6;35
377;J20;0;0;0;0;0;0;0;3;0;0;0;6;1;0;0;4;0;0;0;0;7;79

