Exp;Job;O1;02;03;04;05;O6;07;08;09;010;O11;012;013;014;015;O16;017;018;019;020;PROC;SETUP
391;J1;0;0;9;10;0;0;0;0;0;0;0;6;10;0;0;8;9;7;10;5;1;89
391;J2;2;0;0;0;0;0;0;0;0;0;3;4;10;2;8;0;0;5;4;3;5;73
391;J3;4;5;9;3;0;0;0;0;1;4;0;0;0;9;5;6;0;0;0;0;10;2
391;J4;0;0;0;3;4;5;2;0;0;0;9;8;8;4;7;0;4;8;1;7;4;38
391;J5;0;0;0;0;0;0;0;3;0;0;4;0;0;0;0;3;0;0;0;0;3;68
391;J6;0;1;2;4;6;4;8;1;1;9;4;8;2;2;6;6;0;5;0;0;9;44
391;J7;0;2;0;3;0;0;0;0;0;0;0;8;1;5;0;9;6;1;1;0;6;24
391;J8;0;0;1;0;0;4;5;7;0;0;0;0;0;0;0;0;0;5;0;0;10;13
391;J9;0;0;3;0;0;10;3;9;6;8;4;4;6;10;2;7;3;7;1;2;5;11
391;J10;0;8;7;7;2;0;0;0;1;2;0;0;0;0;0;3;0;0;4;1;2;18
391;J11;10;6;6;6;0;2;5;6;8;1;5;0;0;0;0;4;2;0;0;9;3;48
391;J12;0;0;0;4;8;0;0;0;0;0;0;0;9;4;0;7;4;4;10;8;6;27
391;J13;0;0;0;0;3;2;0;0;0;0;0;5;4;9;0;0;0;4;2;0;7;47
391;J14;3;7;8;10;6;0;0;0;0;0;7;0;0;0;4;0;0;5;0;0;1;3
391;J15;0;0;0;0;1;2;3;0;0;5;9;7;6;5;8;8;8;8;1;7;1;24
391;J16;0;0;9;10;0;0;0;0;0;0;0;6;10;0;0;1;0;0;0;2;1;89
391;J17;2;0;0;0;0;0;0;0;0;0;3;4;10;2;8;0;5;10;8;2;5;73
391;J18;4;5;9;3;0;0;0;0;1;4;0;0;0;9;5;0;0;8;4;7;10;2
391;J19;0;0;0;3;4;5;2;0;0;0;9;8;8;4;7;2;3;3;4;9;4;38
391;J20;0;0;0;0;0;0;0;3;0;0;4;0;0;0;0;10;7;1;2;6;3;68

