Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;O16;O17;O18;O19;O20;PROC;SETUP
380;J1;2;6;0;8;0;5;1;6;0;0;4;3;2;9;9;0;4;7;0;0;1;180
380;J2;0;0;8;0;9;0;0;0;0;0;0;2;7;10;0;7;1;7;3;1;7;75
380;J3;0;0;0;0;0;0;0;0;1;4;0;8;7;0;0;5;0;0;3;4;1;70
380;J4;4;0;6;7;0;2;0;1;5;7;1;8;8;9;6;0;0;2;0;0;2;144
380;J5;0;2;0;0;0;0;0;0;0;0;0;0;0;5;0;0;1;3;0;2;1;154
380;J6;2;0;10;2;9;10;2;3;3;8;6;4;5;2;4;0;1;0;0;0;5;23
380;J7;3;0;1;2;0;2;3;8;0;0;0;0;0;1;0;0;0;4;0;5;8;18
380;J8;0;5;3;0;0;0;0;0;4;8;3;0;7;5;0;0;0;0;4;0;1;9
380;J9;0;0;3;0;2;0;1;2;6;4;2;6;9;3;3;6;4;9;1;3;2;27
380;J10;9;7;0;6;3;5;7;0;0;8;6;0;0;0;0;3;9;8;10;3;9;26
380;J11;2;6;0;8;0;5;1;6;0;0;4;3;2;9;9;1;7;8;3;1;1;180
380;J12;0;0;8;0;9;0;0;0;0;0;0;2;7;10;0;0;4;0;0;3;7;75
380;J13;0;0;0;0;0;0;0;0;1;4;0;8;7;0;0;2;6;1;0;4;1;70
380;J14;4;0;6;7;0;2;0;1;5;7;1;8;8;9;6;0;1;0;0;0;2;144
380;J15;0;2;0;0;0;0;0;0;0;0;0;0;0;5;0;6;0;4;8;9;1;154
380;J16;2;6;0;8;0;5;1;6;0;0;4;3;2;9;9;0;1;0;0;0;1;180
380;J17;0;0;8;0;9;0;0;0;0;0;0;2;7;10;0;8;8;10;2;7;7;75
380;J18;0;0;0;0;0;0;0;0;1;4;0;8;7;0;0;7;10;6;6;0;1;70
380;J19;4;0;6;7;0;2;0;1;5;7;1;8;8;9;6;0;0;6;5;0;2;144
380;J20;0;2;0;0;0;0;0;0;0;0;0;0;0;5;0;0;1;0;2;0;1;154

