388;J1;0;8;0;3;0;7;5;0;0;2;8;0;0;0;0;3;9;0;5;7;8;7
388;J2;6;4;0;0;0;0;0;7;9;1;6;8;1;0;0;0;8;4;0;0;9;91
388;J3;0;0;9;0;5;7;0;0;0;0;3;9;4;0;1;0;2;7;2;3;4;46
388;J4;6;4;1;7;2;0;8;3;0;5;0;4;3;0;0;2;9;3;0;4;3;37
388;J5;0;0;0;7;0;5;4;0;0;0;0;0;6;4;7;0;0;2;0;0;3;49
388;J6;3;7;3;8;0;0;0;0;0;0;9;3;2;7;8;9;6;5;1;1;6;63
388;J7;3;3;5;6;5;5;3;3;9;7;4;2;2;3;5;4;1;0;0;0;10;38
388;J8;5;1;7;8;5;0;0;0;0;0;7;4;5;0;0;3;1;2;9;7;7;100
388;J9;4;4;2;8;2;0;4;0;3;5;0;0;0;0;0;1;0;7;4;6;7;79
388;J10;6;0;4;7;0;0;0;0;0;2;1;3;0;7;6;0;2;3;5;0;8;1
388;J11;9;6;1;8;10;8;0;1;2;7;0;1;2;4;0;0;0;0;4;8;2;70
388;J12;0;4;7;0;10;8;0;2;0;6;6;9;4;0;0;0;0;0;2;3;6;48
388;J13;5;4;1;7;1;2;2;0;4;0;0;4;5;2;10;0;4;0;0;0;8;37
388;J14;0;0;0;3;9;8;0;0;0;0;3;0;0;0;1;7;5;3;0;9;10;52
388;J15;6;9;0;0;3;0;0;4;0;5;5;8;1;1;5;0;4;2;9;0;5;22
388;J16;0;8;0;3;0;7;5;0;0;2;8;0;0;0;0;2;5;6;0;0;8;7
388;J17;6;4;0;0;0;0;0;7;9;1;6;8;1;0;0;0;0;2;0;0;9;91
388;J18;0;0;9;0;5;7;0;0;0;0;3;9;4;0;1;0;1;0;0;0;4;46
388;J19;6;4;1;7;2;0;8;3;0;5;0;4;3;0;0;0;0;0;0;3;3;37
388;J20;0;0;0;7;0;5;4;0;0;0;0;0;6;4;7;1;0;3;8;0;3;49

