Exp;Job;O1;02;03;04;05;O6;07;08;09;010;O11;012;013;014;015;O16;017;018;019;020;PROC;SETUP
385;J1;5;4;0;0;0;0;0;0;0;0;9;3;10;8;2;9;2;1;7;2;1;3
385;J2;7;9;0;0;0;5;3;10;2;4;5;6;5;2;6;3;0;0;2;0;6;33
385;J3;0;4;0;8;3;0;6;0;0;0;0;5;9;7;0;5;6;3;0;2;6;39
385;J4;0;0;7;3;0;0;0;0;0;0;0;0;0;0;6;2;0;3;0;0;6;3
385;J5;1;10;3;3;4;6;0;0;8;4;0;0;1;5;4;3;5;1;0;0;1;23
385;J6;5;2;9;0;0;0;0;1;9;4;2;5;0;6;0;0;0;0;0;1;7;37
385;J7;0;0;0;2;0;2;6;0;0;9;10;0;5;0;0;0;3;0;10;1;8;36
385;J8;10;8;1;0;4;2;9;1;6;7;0;0;0;0;2;8;7;8;7;2;3;38
385;J9;5;1;6;1;0;6;0;5;3;0;0;0;0;0;0;3;6;9;1;5;10;79
385;J10;8;4;8;10;5;0;0;0;0;2;0;5;9;1;8;9;6;10;5;7;4;120
385;J11;3;8;0;0;5;9;2;0;0;4;8;4;10;1;4;0;0;2;0;0;10;8
385;J12;7;1;3;5;6;0;0;10;8;0;8;8;10;10;8;10;5;1;8;0;1;29
385;J13;0;0;5;4;0;0;0;0;0;0;0;0;8;5;10;0;1;8;1;1;7;32
385;J14;0;0;0;6;3;8;0;7;0;0;10;1;0;0;0;0;0;0;1;3;8;42
385;J15;9;7;2;3;0;0;0;0;8;4;0;1;10;4;6;0;0;1;0;0;9;6
385;J16;5;4;0;0;0;0;0;0;0;0;9;3;10;8;2;0;0;3;2;0;1;3
385;J17;7;9;0;0;0;5;3;10;2;4;5;6;5;2;6;10;5;4;1;8;6;33
385;J18;0;4;0;8;3;0;6;0;0;0;0;5;9;7;0;0;4;8;0;0;6;39
385;J19;0;0;7;3;0;0;0;0;0;0;0;0;0;0;6;0;0;3;7;2;6;3
385;J20;1;10;3;3;4;6;0;0;8;4;0;0;1;5;4;0;4;3;0;0;1;23

