Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;O16;O17;O18;O19;O20;PROC;SETUP
381;J1;9;10;1;6;7;2;0;0;0;0;9;3;1;6;3;0;2;0;7;0;4;41
381;J2;0;0;0;0;0;0;0;0;5;7;0;0;0;5;0;3;0;0;0;0;6;48
381;J3;0;0;0;9;0;0;0;0;0;0;0;0;3;8;7;0;3;0;0;0;4;5
381;J4;0;0;0;0;0;1;7;0;0;0;0;6;5;0;0;0;0;5;0;0;6;40
381;J5;0;0;0;3;4;2;5;7;1;6;0;0;0;5;4;0;4;3;0;0;8;47
381;J6;3;0;0;0;1;0;9;0;0;0;0;0;0;0;0;0;3;8;2;3;4;30
381;J7;0;0;0;3;6;3;6;9;8;7;1;0;0;0;0;0;5;2;0;0;6;6
381;J8;0;0;5;0;0;0;0;0;0;0;0;0;0;3;7;4;5;7;10;2;7;46
381;J9;8;7;2;0;0;0;0;0;0;4;3;0;0;0;0;1;0;0;5;0;4;4
381;J10;10;7;5;4;8;7;8;8;7;3;8;5;2;1;1;0;0;0;4;2;1;30
381;J11;0;0;0;8;2;1;0;0;0;0;1;5;0;4;8;5;0;0;0;0;9;35
381;J12;7;2;7;5;7;9;4;5;5;3;5;5;4;10;4;8;3;6;6;2;6;49
381;J13;2;6;0;1;5;0;0;0;0;0;0;5;6;9;0;0;2;0;0;0;7;7
381;J14;2;1;8;6;9;0;6;9;7;2;7;6;0;0;0;2;0;0;0;0;6;18
381;J15;0;0;0;5;2;6;10;0;0;0;0;0;10;8;5;0;1;2;5;3;3;0
381;J16;9;10;1;6;7;2;0;0;0;0;9;3;1;6;3;1;2;0;0;0;4;41
381;J17;0;0;0;0;0;0;0;0;5;7;0;0;0;5;0;0;0;0;2;0;6;48
381;J18;0;0;0;9;0;0;0;0;0;0;0;0;3;8;7;0;0;3;0;0;4;5
381;J19;0;0;0;0;0;1;7;0;0;0;0;6;5;0;0;0;0;0;0;5;6;40
381;J20;0;0;0;3;4;2;5;7;1;6;0;0;0;5;4;4;2;5;4;7;8;47

