Exp;Job;O1;02;03;04;05;O6;07;08;09;010;O11;012;013;014;015;O16;017;018;019;020;PROC;SETUP
399;J1;0;0;7;0;10;5;1;8;0;0;0;0;6;8;0;0;4;8;7;10;7;78
399;J2;3;6;0;0;0;0;0;0;7;8;0;8;10;6;0;7;6;3;5;0;6;29
399;J3;0;4;8;0;0;0;3;0;5;2;8;0;0;0;0;0;0;0;1;0;9;140
399;J4;7;8;10;0;0;0;0;6;5;0;2;8;4;9;0;6;1;0;0;0;9;48
399;J5;8;0;7;2;0;9;4;0;0;7;7;10;7;5;4;0;6;1;10;7;4;179
399;J6;5;1;0;0;0;2;2;3;7;9;0;0;0;0;0;7;1;9;6;0;6;61
399;J7;6;2;2;1;0;4;3;8;6;9;4;0;0;0;0;0;0;0;0;2;8;59
399;J8;4;0;3;1;5;0;0;0;0;0;0;4;1;2;0;0;0;2;0;0;8;72
399;J9;0;0;4;0;0;3;2;0;0;0;0;0;0;0;0;6;3;7;0;8;7;3
399;J10;0;0;7;2;0;0;0;0;0;0;4;1;2;3;0;4;5;0;4;1;8;72
399;J11;2;3;0;0;3;4;7;9;1;0;0;0;10;0;0;1;10;0;3;0;8;2
399;J12;8;0;3;5;6;0;9;2;0;7;8;7;0;0;0;6;8;7;9;1;8;12
399;J13;4;3;2;0;4;1;3;0;3;6;0;0;5;2;9;0;0;5;0;0;7;22
399;J14;0;0;0;3;0;0;0;0;0;0;8;0;4;3;0;0;0;3;1;0;7;45
399;J15;2;3;0;0;6;0;1;5;0;0;0;5;7;1;10;7;3;0;0;0;3;23
399;J16;0;0;7;0;10;5;1;8;0;0;0;0;6;8;0;0;0;0;1;5;7;78
399;J17;3;6;0;0;0;0;0;0;7;8;0;8;10;6;0;4;6;1;8;1;6;29
399;J18;0;4;8;0;0;0;3;0;5;2;8;0;0;0;0;0;8;5;6;3;9;140
399;J19;7;8;10;0;0;0;0;6;5;0;2;8;4;9;0;8;0;0;0;0;9;48
399;J20;8;0;7;2;0;9;4;0;0;7;7;10;7;5;4;0;9;8;0;0;4;179

