Exp;Job;O1;02;03;04;05;O6;07;08;09;010;O11;012;013;014;015;O16;017;018;019;020;PROC;SETUP
376;J1;4;3;0;5;0;7;0;8;0;9;2;0;0;0;0;6;0;8;1;4;9;16
376;J2;0;0;4;0;0;0;6;0;0;0;0;1;0;0;0;0;0;6;0;0;4;24
376;J3;0;0;0;0;0;0;0;0;2;0;4;0;0;5;0;3;10;9;8;3;10;4
376;J4;0;8;1;0;7;3;4;0;0;0;0;4;7;0;0;0;5;0;4;2;7;18
376;J5;2;3;6;5;8;1;1;5;10;9;0;0;8;0;4;3;0;0;1;0;4;6
376;J6;9;2;8;1;0;0;0;0;0;0;4;0;0;0;0;0;6;4;0;0;6;46
376;J7;0;0;0;3;0;3;9;4;3;9;7;2;3;2;0;1;6;2;0;0;5;17
376;J8;0;0;10;7;0;0;0;0;0;0;1;6;0;0;7;0;0;0;7;1;6;38
376;J9;0;6;0;0;0;0;3;4;0;0;0;0;0;0;0;1;0;0;9;7;6;6
376;J10;7;0;8;7;2;0;0;0;0;2;1;0;0;0;0;3;5;10;1;0;8;0
376;J11;0;0;0;0;0;0;0;0;2;3;0;0;9;6;0;0;0;0;3;0;6;60
376;J12;6;5;7;9;2;9;1;10;5;3;0;0;0;8;0;0;1;0;3;0;6;26
376;J13;0;6;2;0;1;4;0;0;0;0;7;6;1;5;10;0;0;5;0;0;7;37
376;J14;0;0;0;0;0;0;6;0;0;0;0;0;1;0;0;1;2;1;6;4;6;35
376;J15;0;0;0;0;0;0;0;3;0;0;0;6;1;0;0;6;8;10;10;7;7;79
376;J16;4;3;0;5;0;7;0;8;0;9;2;0;0;0;0;0;4;0;1;2;9;16
376;J17;0;0;4;0;0;0;6;0;0;0;0;1;0;0;0;7;10;6;5;7;4;24
376;J18;0;0;0;0;0;0;0;0;2;0;4;0;0;5;0;7;10;5;0;8;10;4
376;J19;0;8;1;0;7;3;4;0;0;0;0;4;7;0;0;0;0;0;1;0;7;18
376;J20;2;3;6;5;8;1;1;5;10;9;0;0;8;0;4;0;0;0;5;6;4;6

