Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;O16;O17;O18;O19;O20;PROC;SETUP
397;J1;0;0;0;0;0;3;2;0;0;0;0;0;9;7;0;9;10;3;1;6;4;26
397;J2;0;4;2;1;0;0;0;0;0;0;3;0;0;0;0;2;8;0;9;0;1;46
397;J3;0;2;0;0;8;3;6;1;4;0;6;5;10;3;7;0;3;2;1;8;1;93
397;J4;0;0;3;0;0;0;8;0;7;0;0;0;0;0;6;0;2;6;5;4;6;28
397;J5;3;9;7;3;10;0;7;8;7;6;10;9;4;8;1;4;3;0;0;1;7;11
397;J6;9;8;5;0;6;2;4;1;5;8;7;0;0;0;0;8;7;0;0;0;9;93
397;J7;7;5;2;0;6;0;0;0;0;0;6;7;7;8;1;6;9;9;3;10;4;170
397;J8;10;7;3;2;4;0;6;2;0;0;0;0;0;0;0;2;1;7;8;4;7;163
397;J9;0;0;0;2;0;0;0;0;0;0;0;4;8;3;9;0;0;5;0;0;1;165
397;J10;0;7;5;0;0;2;7;7;6;2;9;7;0;0;0;3;6;8;0;0;6;52
397;J11;2;6;3;5;7;0;0;8;0;0;7;0;0;0;0;4;4;3;5;7;3;76
397;J12;1;2;1;2;1;7;8;0;0;0;0;4;0;0;0;4;2;3;7;10;10;144
397;J13;0;6;0;0;0;0;2;5;1;3;3;6;2;7;10;0;5;2;9;0;3;128
397;J14;0;0;3;0;0;0;0;8;6;0;0;8;7;1;9;10;2;10;5;0;3;3
397;J15;4;1;6;0;0;0;0;0;0;0;5;6;8;6;4;6;4;5;5;7;10;87
397;J16;0;0;0;0;0;3;2;0;0;0;0;0;9;7;0;0;3;5;0;0;4;26
397;J17;0;4;2;1;0;0;0;0;0;0;3;0;0;0;0;3;0;0;9;4;1;46
397;J18;0;2;0;0;8;3;6;1;4;0;6;5;10;3;7;10;0;1;2;3;1;93
397;J19;0;0;3;0;0;0;8;0;7;0;0;0;0;0;6;0;0;0;3;0;6;28
397;J20;3;9;7;3;10;0;7;8;7;6;10;9;4;8;1;0;0;0;0;5;7;11

