Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;O16;O17;O18;O19;O20;PROC;SETUP
389;J1;9;6;1;8;10;8;0;1;2;7;0;1;2;4;0;0;2;0;0;0;2;70
389;J2;0;4;7;0;10;8;0;2;0;6;6;9;4;0;0;0;2;1;6;0;6;48
389;J3;5;4;1;7;1;2;2;0;4;0;0;4;5;2;10;0;0;3;4;0;8;37
389;J4;0;0;0;3;9;8;0;0;0;0;3;0;0;0;1;7;1;0;0;8;10;52
389;J5;6;9;0;0;3;0;0;4;0;5;5;8;1;1;5;0;5;0;0;0;5;22
389;J6;3;0;4;1;0;2;2;3;4;8;10;6;2;6;6;10;3;8;8;8;8;41
389;J7;1;8;5;8;1;2;5;2;1;8;8;0;0;0;0;8;9;7;4;10;6;139
389;J8;0;0;0;5;8;2;10;9;7;10;8;5;9;1;0;0;5;8;4;2;7;89
389;J9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;2;6;9;0;4;41
389;J10;3;0;0;0;1;2;8;4;6;7;0;0;0;0;1;4;0;0;0;0;6;31
389;J11;3;7;4;3;4;0;0;8;0;3;7;9;8;2;5;0;10;3;2;1;10;108
389;J12;5;4;10;8;1;0;0;0;0;0;3;4;7;3;5;7;3;4;0;0;5;123
389;J13;0;0;0;0;0;3;0;0;0;0;0;0;4;5;0;0;2;6;0;3;9;49
389;J14;0;0;0;0;0;0;3;0;0;0;0;9;0;0;0;0;0;0;6;5;8;25
389;J15;9;6;5;9;3;6;10;7;0;0;1;8;0;8;9;0;4;7;8;5;3;115
389;J16;9;6;1;8;10;8;0;1;2;7;0;1;2;4;0;9;10;0;0;0;2;70
389;J17;0;4;7;0;10;8;0;2;0;6;6;9;4;0;0;3;6;8;1;8;6;48
389;J18;5;4;1;7;1;2;2;0;4;0;0;4;5;2;10;0;0;6;2;0;8;37
389;J19;0;0;0;3;9;8;0;0;0;0;3;0;0;0;1;0;2;1;3;4;10;52
389;J20;6;9;0;0;3;0;0;4;0;5;5;8;1;1;5;0;4;3;2;0;5;22

