Exp;Job;O1;02;03;04;05;O6;07;08;09;010;O11;012;013;014;015;O16;017;018;019;020;PROC;SETUP
400;J1;0;0;7;0;10;5;1;8;0;0;0;0;6;8;0;0;0;4;1;3;7;78
400;J2;3;6;0;0;0;0;0;0;7;8;0;8;10;6;0;5;9;7;0;0;6;29
400;J3;0;4;8;0;0;0;3;0;5;2;8;0;0;0;0;10;6;4;6;0;9;140
400;J4;7;8;10;0;0;0;0;6;5;0;2;8;4;9;0;3;2;0;1;8;9;48
400;J5;8;0;7;2;0;9;4;0;0;7;7;10;7;5;4;10;5;4;10;4;4;179
400;J6;5;1;0;0;0;2;2;3;7;9;0;0;0;0;0;9;10;5;6;7;6;61
400;J7;6;2;2;1;0;4;3;8;6;9;4;0;0;0;0;0;4;0;0;0;8;59
400;J8;4;0;3;1;5;0;0;0;0;0;0;4;1;2;0;0;0;0;8;0;8;72
400;J9;0;0;4;0;0;3;2;0;0;0;0;0;0;0;0;4;6;9;7;2;7;3
400;J10;0;0;7;2;0;0;0;0;0;0;4;1;2;3;0;0;3;0;5;0;8;72
400;J11;2;3;0;0;3;4;7;9;1;0;0;0;10;0;0;0;1;3;0;0;8;2
400;J12;8;0;3;5;6;0;9;2;0;7;8;7;0;0;0;0;6;1;0;5;8;12
400;J13;4;3;2;0;4;1;3;0;3;6;0;0;5;2;9;2;9;8;0;5;7;22
400;J14;0;0;0;3;0;0;0;0;0;0;8;0;4;3;0;0;8;10;4;9;7;45
400;J15;2;3;0;0;6;0;1;5;0;0;0;5;7;1;10;0;0;6;7;1;3;23
400;J16;5;4;0;0;0;0;0;0;0;0;9;3;10;8;2;0;5;0;0;0;1;3
400;J17;7;9;0;0;0;5;3;10;2;4;5;6;5;2;6;6;7;0;9;8;6;33
400;J18;0;4;0;8;3;0;6;0;0;0;0;5;9;7;0;4;5;0;1;0;6;39
400;J19;0;0;7;3;0;0;0;0;0;0;0;0;0;0;6;0;3;7;7;2;6;3
400;J20;1;10;3;3;4;6;0;0;8;4;0;0;1;5;4;4;10;5;0;1;1;23

