Exp;Job;O1;02;03;04;05;O6;07;08;09;010;O11;012;013;014;015;O16;017;018;019;020;PROC;SETUP
378;J1;2;0;5;1;0;0;0;0;0;0;0;0;4;5;0;2;4;3;9;0;1;18
378;J2;0;0;0;0;2;0;0;0;0;0;0;4;7;0;0;7;4;8;6;9;8;8
378;J3;0;0;0;0;0;5;3;7;1;0;7;5;6;5;1;3;0;2;0;0;10;44
378;J4;0;0;0;0;0;0;0;0;7;3;10;0;0;0;0;0;0;1;0;0;2;44
378;J5;6;7;6;3;8;7;7;4;0;0;0;6;4;5;0;1;8;7;6;0;5;6
378;J6;10;1;8;5;0;0;0;0;0;9;4;5;2;1;6;0;5;4;0;6;4;16
378;J7;0;0;0;2;6;7;3;6;4;5;6;0;0;0;0;0;0;1;0;2;1;55
378;J8;7;0;0;5;0;0;0;0;1;6;9;8;3;0;0;0;0;0;5;4;9;41
378;J9;0;1;0;0;0;0;6;2;0;0;0;7;4;0;0;0;1;7;10;4;8;73
378;J10;7;3;0;0;5;0;0;0;0;3;0;5;8;7;1;9;10;10;4;3;7;98
378;J11;0;0;0;3;0;5;4;0;0;0;0;0;9;10;0;1;5;10;4;0;2;94
378;J12;0;0;0;0;5;0;0;0;3;0;10;0;0;0;0;5;4;0;0;0;8;65
378;J13;1;1;7;2;4;0;0;5;3;0;0;0;0;0;8;3;0;0;0;0;3;60
378;J14;2;8;3;1;0;0;0;6;2;0;0;3;6;0;0;4;5;8;0;0;9;97
378;J15;0;0;0;0;0;0;0;0;0;9;2;8;4;9;0;0;0;0;6;1;1;65
378;J16;2;0;5;1;0;0;0;0;0;0;0;0;4;5;0;0;0;7;3;2;1;18
378;J17;0;0;0;0;2;0;0;0;0;0;0;4;7;0;0;3;10;2;9;9;8;8
378;J18;0;0;0;0;0;5;3;7;1;0;7;5;6;5;1;0;0;0;0;3;10;44
378;J19;0;0;0;0;0;0;0;0;7;3;10;0;0;0;0;3;1;0;0;0;2;44
378;J20;6;7;6;3;8;7;7;4;0;0;0;6;4;5;0;3;9;1;1;4;5;6

