Exp;Job;O1;O2;O3;O4;O5;PROC;SETUP
80;J1;0;4;7;0;0;3;145
80;J2;7;1;7;3;1;4;184
80;J3;5;0;0;3;4;2;122
80;J4;0;0;2;0;0;9;128
80;J5;0;1;3;0;2;5;103
80;J6;0;1;0;0;0;5;33
80;J7;0;0;4;0;5;4;127
80;J8;0;0;0;4;0;6;173
80;J9;6;4;9;1;3;3;51
80;J10;3;9;8;10;3;8;114
80;J11;1;7;8;3;1;9;148
80;J12;0;4;0;0;3;5;113
80;J13;2;6;1;0;4;6;47
80;J14;0;1;0;0;0;6;73
80;J15;6;0;4;8;9;4;172
80;J16;0;1;0;0;0;3;180
80;J17;8;8;10;2;7;6;122
80;J18;7;10;6;6;0;5;20
80;J19;0;0;6;5;0;5;86
80;J20;0;1;0;2;0;8;31

