Exp;Job;O1;02;03;04;05;O6;07;08;09;010;O11;012;013;014;015;O16;017;018;019;020;PROC;SETUP
371;J1;1;1;8;3;3;4;6;5;6;0;0;0;10;0;0;0;0;8;2;0;1;110
371;J2;0;1;6;0;2;0;5;0;0;0;0;5;9;6;0;0;5;0;0;0;2;57
371;J3;7;10;1;8;10;8;10;8;8;10;5;0;0;0;0;0;0;4;0;0;6;1
371;J4;3;1;4;0;0;0;0;0;9;8;0;0;7;0;6;0;9;4;0;0;3;13
371;J5;0;0;0;4;0;0;1;0;0;0;0;5;0;0;0;3;3;3;4;4;1;136
371;J6;3;0;2;4;0;8;4;2;8;10;6;5;3;10;6;6;0;0;0;0;8;76
371;J7;0;4;0;6;0;0;0;0;0;0;0;1;8;10;6;0;5;0;0;0;3;80
371;J8;4;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;4;2;8;4;10;37
371;J9;0;0;3;1;6;0;0;0;0;0;0;0;0;0;6;7;1;2;0;0;5;88
371;J10;0;8;0;4;0;2;3;6;5;4;7;3;6;5;0;0;5;4;0;6;8;35
371;J11;0;4;0;2;0;0;0;0;6;0;3;2;4;7;8;4;1;0;8;0;7;93
371;J12;4;7;2;5;0;0;3;8;0;0;0;0;7;9;0;1;1;8;10;4;6;110
371;J13;0;0;0;0;7;6;1;0;0;0;0;0;9;0;0;1;1;9;2;3;1;26
371;J14;0;0;0;0;0;0;0;0;0;5;0;8;0;0;10;0;4;2;2;9;9;65
371;J15;4;0;0;2;5;0;0;0;0;0;4;10;0;8;4;1;0;4;7;5;3;111

