Exp;Job;O1;02;03;04;05;O6;07;08;09;010;O11;012;013;014;015;O16;017;018;019;020;PROC;SETUP
365;J1;9;6;1;8;10;8;0;1;2;7;0;1;2;4;0;2;7;0;0;0;2;70
365;J2;0;4;7;0;10;8;0;2;0;6;6;9;4;0;0;0;3;6;0;0;6;48
365;J3;5;4;1;7;1;2;2;0;4;0;0;4;5;2;10;0;0;2;3;4;8;37
365;J4;0;0;0;3;9;8;0;0;0;0;3;0;0;0;1;7;7;1;4;10;10;52
365;J5;6;9;0;0;3;0;0;4;0;5;5;8;1;1;5;0;1;0;0;0;5;22
365;J6;3;0;4;1;0;2;2;3;4;8;10;6;2;6;6;0;0;4;0;1;8;41
365;J7;1;8;5;8;1;2;5;2;1;8;8;0;0;0;0;1;0;0;0;0;6;139
365;J8;0;0;0;5;8;2;10;9;7;10;8;5;9;1;0;0;0;0;1;0;7;89
365;J9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;4;1;7;5;4;41
365;J10;3;0;0;0;1;2;8;4;6;7;0;0;0;0;1;0;0;6;5;0;6;31
365;J11;3;7;4;3;4;0;0;8;0;3;7;9;8;2;5;3;0;2;0;0;10;108
365;J12;5;4;10;8;1;0;0;0;0;0;3;4;7;3;5;0;7;2;1;0;5;123
365;J13;0;0;0;0;0;3;0;0;0;0;0;0;4;5;0;0;0;0;0;8;9;49
365;J14;0;0;0;0;0;0;3;0;0;0;0;9;0;0;0;0;5;0;4;0;8;25
365;J15;9;6;5;9;3;6;10;7;0;0;1;8;0;8;9;6;0;0;0;2;3;115

