Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;O16;O17;O18;O19;O20;PROC;SETUP
373;J1;0;0;0;0;0;3;2;0;0;0;0;0;9;7;0;0;4;1;0;0;4;26
373;J2;0;4;2;1;0;0;0;0;0;0;3;0;0;0;0;0;0;10;0;0;1;46
373;J3;0;2;0;0;8;3;6;1;4;0;6;5;10;3;7;0;2;0;0;0;1;93
373;J4;0;0;3;0;0;0;8;0;7;0;0;0;0;0;6;4;4;2;4;0;6;28
373;J5;3;9;7;3;10;0;7;8;7;6;10;9;4;8;1;0;0;0;2;0;7;11
373;J6;9;8;5;0;6;2;4;1;5;8;7;0;0;0;0;6;7;0;3;0;9;93
373;J7;7;5;2;0;6;0;0;0;0;0;6;7;7;8;1;0;1;4;0;0;4;170
373;J8;10;7;3;2;4;0;6;2;0;0;0;0;0;0;0;0;0;0;5;0;7;163
373;J9;0;0;0;2;0;0;0;0;0;0;0;4;8;3;9;3;0;10;4;3;1;165
373;J10;0;7;5;0;0;2;7;7;6;2;9;7;0;0;0;0;4;5;1;0;6;52
373;J11;2;6;3;5;7;0;0;8;0;0;7;0;0;0;0;0;5;0;0;0;3;76
373;J12;1;2;1;2;1;7;8;0;0;0;0;4;0;0;0;5;8;10;1;10;10;144
373;J13;0;6;0;0;0;0;2;5;1;3;3;6;2;7;10;9;8;2;0;1;3;128
373;J14;0;0;3;0;0;0;0;8;6;0;0;8;7;1;9;10;2;3;8;0;3;3
373;J15;4;1;6;0;0;0;0;0;0;0;5;6;8;6;4;0;7;3;0;0;10;87

