Exp;Job;O1;02;03;04;05;O6;07;08;09;010;O11;012;013;014;015;O16;017;018;019;020;PROC;SETUP
375;J1;2;3;0;0;3;4;7;9;1;0;0;0;10;0;0;3;0;7;5;1;8;2
375;J2;8;0;3;5;6;0;9;2;0;7;8;7;0;0;0;0;0;2;3;0;8;12
375;J3;4;3;2;0;4;1;3;0;3;6;0;0;5;2;9;0;4;0;0;0;7;22
375;J4;0;0;0;3;0;0;0;0;0;0;8;0;4;3;0;0;0;3;0;0;7;45
375;J5;2;3;0;0;6;0;1;5;0;0;0;5;7;1;10;3;5;2;0;0;3;23
375;J6;0;2;0;0;0;0;0;0;2;6;10;0;0;0;0;0;0;0;5;0;3;8
375;J7;2;9;4;2;0;0;0;0;0;0;0;0;0;2;0;6;9;2;2;5;4;23
375;J8;6;1;3;0;0;0;0;3;7;4;9;6;3;2;1;9;8;4;4;0;7;40
375;J9;0;0;6;0;4;10;5;9;1;3;2;1;4;9;4;0;0;8;5;7;7;27
375;J10;4;0;0;5;2;9;1;4;5;5;2;9;0;0;0;7;0;10;6;5;4;11
375;J11;2;3;0;0;3;4;7;9;1;0;0;0;10;0;0;0;0;3;1;4;8;2
375;J12;8;0;3;5;6;0;9;2;0;7;8;7;0;0;0;1;5;0;4;0;8;12
375;J13;4;3;2;0;4;1;3;0;3;6;0;0;5;2;9;3;6;7;1;0;7;22
375;J14;0;0;0;3;0;0;0;0;0;0;8;0;4;3;0;3;5;4;0;0;7;45
375;J15;2;3;0;0;6;0;1;5;0;0;0;5;7;1;10;0;3;1;6;0;3;23

