Exp;Job;O1;02;03;04;05;O6;07;08;09;010;O11;012;013;014;015;O16;017;018;019;020;PROC;SETUP
363;J1;0;4;0;0;1;3;0;0;0;0;0;0;8;7;4;2;4;0;1;0;2;36
363;J2;6;5;3;0;0;0;4;0;0;0;1;8;9;9;6;3;2;4;0;0;5;4
363;J3;5;1;10;0;0;7;8;3;0;9;6;3;0;0;0;0;1;0;0;4;3;43
363;J4;0;0;0;7;0;0;0;0;0;0;0;3;0;2;0;0;0;3;0;0;6;3
363;J5;0;0;0;0;5;2;0;0;4;3;0;0;5;7;10;0;6;3;1;0;10;39
363;J6;4;0;8;7;5;0;5;2;5;4;10;1;2;3;4;0;2;1;0;3;6;12
363;J7;1;7;0;9;0;0;0;0;4;6;1;1;1;0;0;1;0;0;0;0;6;13
363;J8;0;0;0;3;2;0;0;2;0;0;0;0;0;0;0;0;0;2;3;0;9;41
363;J9;0;3;7;0;2;0;0;0;0;4;4;3;3;8;7;0;7;3;4;0;10;5
363;J10;4;3;10;3;10;4;3;0;0;0;0;0;0;0;0;2;4;5;6;8;6;32
363;J11;0;8;0;3;0;7;5;0;0;2;8;0;0;0;0;1;7;7;6;2;8;7
363;J12;6;4;0;0;0;0;0;7;9;1;6;8;1;0;0;0;0;0;0;1;9;91
363;J13;0;0;9;0;5;7;0;0;0;0;3;9;4;0;1;3;0;0;0;0;4;46
363;J14;6;4;1;7;2;0;8;3;0;5;0;4;3;0;0;0;0;1;2;0;3;37
363;J15;0;0;0;7;0;5;4;0;0;0;0;0;6;4;7;4;3;3;2;4;3;49

