Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;O16;O17;O18;O19;O20;PROC;SETUP
352;J1;0;0;0;0;0;0;0;0;2;3;0;0;9;6;0;2;5;4;0;0;6;60
352;J2;6;5;7;9;2;9;1;10;5;3;0;0;0;8;0;0;0;0;3;0;6;26
352;J3;0;6;2;0;1;4;0;0;0;0;7;6;1;5;10;7;8;5;1;0;7;37
352;J4;0;0;0;0;0;0;6;0;0;0;0;0;1;0;0;5;9;8;1;0;6;35
352;J5;0;0;0;0;0;0;0;3;0;0;0;6;1;0;0;8;9;0;7;0;7;79
352;J6;0;0;9;3;0;0;0;5;3;9;7;0;0;0;8;0;0;5;1;3;10;89
352;J7;3;0;3;8;0;2;8;4;3;0;0;7;5;0;0;4;0;6;5;8;2;75
352;J8;10;8;4;5;0;5;0;4;7;4;5;0;0;3;2;7;8;1;10;4;10;93
352;J9;0;0;0;0;9;0;0;0;0;2;1;10;4;5;0;0;2;0;0;0;6;50
352;J10;0;0;7;4;8;0;0;0;0;0;0;1;4;3;6;0;0;0;0;2;2;143
352;J11;2;0;5;1;0;0;0;0;0;0;0;0;4;5;0;5;0;0;3;0;1;18
352;J12;0;0;0;0;2;0;0;0;0;0;0;4;7;0;0;8;6;4;9;7;8;8
352;J13;0;0;0;0;0;5;3;7;1;0;7;5;6;5;1;7;0;8;1;0;10;44
352;J14;0;0;0;0;0;0;0;0;7;3;10;0;0;0;0;9;2;5;5;9;2;44
352;J15;6;7;6;3;8;7;7;4;0;0;0;6;4;5;0;0;0;0;0;1;5;6

