Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;O16;O17;O18;O19;O20;PROC;SETUP
355;J1;0;0;7;0;10;5;1;8;0;0;0;0;6;8;0;0;0;6;4;3;7;78
355;J2;3;6;0;0;0;0;0;0;7;8;0;8;10;6;0;6;10;5;0;6;6;29
355;J3;0;4;8;0;0;0;3;0;5;2;8;0;0;0;0;7;1;0;0;0;9;140
355;J4;7;8;10;0;0;0;0;6;5;0;2;8;4;9;0;0;0;0;2;3;9;48
355;J5;8;0;7;2;0;9;4;0;0;7;7;10;7;5;4;0;2;1;0;0;4;179
355;J6;5;1;0;0;0;2;2;3;7;9;0;0;0;0;0;0;5;3;9;0;6;61
355;J7;6;2;2;1;0;4;3;8;6;9;4;0;0;0;0;0;0;0;4;0;8;59
355;J8;4;0;3;1;5;0;0;0;0;0;0;4;1;2;0;8;2;0;0;0;8;72
355;J9;0;0;4;0;0;3;2;0;0;0;0;0;0;0;0;0;0;9;0;0;7;3
355;J10;0;0;7;2;0;0;0;0;0;0;4;1;2;3;0;0;0;0;6;5;8;72
355;J11;2;6;0;8;0;5;1;6;0;0;4;3;2;9;9;0;3;2;0;0;1;180
355;J12;0;0;8;0;9;0;0;0;0;0;0;2;7;10;0;3;9;4;7;2;7;75
355;J13;0;0;0;0;0;0;0;0;1;4;0;8;7;0;0;0;0;0;1;0;1;70
355;J14;4;0;6;7;0;2;0;1;5;7;1;8;8;9;6;0;1;8;3;4;2;144
355;J15;0;2;0;0;0;0;0;0;0;0;0;0;0;5;0;3;0;0;0;0;1;154

