Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;O16;O17;O18;O19;O20;PROC;SETUP
372;J1;0;4;0;2;0;0;0;0;6;0;3;2;4;7;8;1;0;7;3;5;7;93
372;J2;4;7;2;5;0;0;3;8;0;0;0;0;7;9;0;10;1;6;5;1;6;110
372;J3;0;0;0;0;7;6;1;0;0;0;0;0;9;0;0;3;4;0;0;0;1;26
372;J4;0;0;0;0;0;0;0;0;0;5;0;8;0;0;10;0;0;6;0;0;9;65
372;J5;4;0;0;2;5;0;0;0;0;0;4;10;0;8;4;0;0;0;4;0;3;111
372;J6;0;2;0;0;0;6;1;3;0;0;0;0;0;0;0;2;0;0;0;0;8;36
372;J7;7;0;3;10;2;8;1;6;5;8;1;6;7;0;0;5;6;5;4;6;1;84
372;J8;0;2;6;0;4;0;0;0;0;6;7;5;8;6;10;0;0;7;3;2;6;84
372;J9;0;5;0;0;0;5;5;5;5;1;8;7;10;0;0;2;0;0;0;0;2;0
372;J10;0;0;3;0;0;3;6;5;9;4;0;0;0;0;0;9;6;3;4;2;1;74
372;J11;0;0;0;0;0;3;2;0;0;0;0;0;9;7;0;8;1;9;4;5;4;26
372;J12;0;4;2;1;0;0;0;0;0;0;3;0;0;0;0;5;8;3;1;0;1;46
372;J13;0;2;0;0;8;3;6;1;4;0;6;5;10;3;7;0;3;6;9;2;1;93
372;J14;0;0;3;0;0;0;8;0;7;0;0;0;0;0;6;2;6;10;5;0;6;28
372;J15;3;9;7;3;10;0;7;8;7;6;10;9;4;8;1;0;2;0;0;0;7;11

