Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;O16;O17;O18;O19;O20;PROC;SETUP
367;J1;0;0;9;10;0;0;0;0;0;0;0;6;10;0;0;0;0;0;0;3;1;89
367;J2;2;0;0;0;0;0;0;0;0;0;3;4;10;2;8;9;6;7;8;2;5;73
367;J3;4;5;9;3;0;0;0;0;1;4;0;0;0;9;5;2;9;0;1;6;10;2
367;J4;0;0;0;3;4;5;2;0;0;0;9;8;8;4;7;3;6;7;2;0;4;38
367;J5;0;0;0;0;0;0;0;3;0;0;4;0;0;0;0;0;7;4;5;1;3;68
367;J6;0;1;2;4;6;4;8;1;1;9;4;8;2;2;6;7;0;0;3;0;9;44
367;J7;0;2;0;3;0;0;0;0;0;0;0;8;1;5;0;0;1;0;0;0;6;24
367;J8;0;0;1;0;0;4;5;7;0;0;0;0;0;0;0;2;3;0;4;0;10;13
367;J9;0;0;3;0;0;10;3;9;6;8;4;4;6;10;2;2;4;10;7;0;5;11
367;J10;0;8;7;7;2;0;0;0;1;2;0;0;0;0;0;0;6;8;0;0;2;18
367;J11;10;6;6;6;0;2;5;6;8;1;5;0;0;0;0;2;6;7;5;0;3;48
367;J12;0;0;0;4;8;0;0;0;0;0;0;0;9;4;0;7;9;1;7;5;6;27
367;J13;0;0;0;0;3;2;0;0;0;0;0;5;4;9;0;0;8;1;0;0;7;47
367;J14;3;7;8;10;6;0;0;0;0;0;7;0;0;0;4;4;0;8;2;6;1;3
367;J15;0;0;0;0;1;2;3;0;0;5;9;7;6;5;8;2;6;4;3;9;1;24

