Exp;Job;O1;02;03;04;05;O6;07;08;09;010;O11;012;013;014;015;O16;017;018;019;020;PROC;SETUP
370;J1;0;0;1;4;0;0;0;0;0;0;0;0;0;5;10;7;1;7;9;6;9;53
370;J2;0;0;0;0;1;3;0;0;0;0;7;3;10;9;5;0;2;5;0;0;8;38
370;J3;4;3;7;8;1;10;1;3;6;0;4;3;6;10;0;4;0;0;0;0;8;47
370;J4;1;0;4;0;3;8;2;0;3;7;10;0;0;0;0;8;9;3;7;0;7;47
370;J5;0;4;0;0;0;1;0;0;3;2;9;0;8;10;0;0;6;0;3;0;3;54
370;J6;0;0;4;5;0;6;4;6;9;5;5;0;0;0;0;0;9;5;0;0;4;48
370;J7;0;4;0;1;7;0;8;2;7;8;7;8;2;1;5;0;0;4;3;0;8;84
370;J8;3;9;10;8;0;7;9;10;4;4;5;4;3;8;0;0;10;1;9;0;5;27
370;J9;0;0;0;2;0;0;0;0;0;0;0;0;0;0;5;9;5;0;0;0;9;68
370;J10;0;5;0;0;2;2;3;4;5;10;7;7;0;0;0;9;5;7;1;4;7;49
370;J11;1;1;8;3;3;4;6;5;6;0;0;0;10;0;0;0;3;0;6;7;1;110
370;J12;0;1;6;0;2;0;5;0;0;0;0;5;9;6;0;7;5;7;7;8;2;57
370;J13;7;10;1;8;10;8;10;8;8;10;5;0;0;0;0;2;5;9;1;0;6;1
370;J14;3;1;4;0;0;0;0;0;9;8;0;0;7;0;6;4;5;6;0;0;3;13
370;J15;0;0;0;4;0;0;1;0;0;0;0;5;0;0;0;8;6;2;5;6;1;136

