Exp;Job;O1;02;03;04;05;O6;07;08;09;010;O11;012;013;014;015;O16;017;018;019;020;PROC;SETUP
356;J1;2;6;0;8;0;5;1;6;0;0;4;3;2;9;9;5;3;0;0;0;1;180
356;J2;0;0;8;0;9;0;0;0;0;0;0;2;7;10;0;0;8;4;0;0;7;75
356;J3;0;0;0;0;0;0;0;0;1;4;0;8;7;0;0;9;3;7;0;0;1;70
356;J4;4;0;6;7;0;2;0;1;5;7;1;8;8;9;6;0;0;0;4;10;2;144
356;J5;0;2;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;0;2;3;1;154
356;J6;2;0;10;2;9;10;2;3;3;8;6;4;5;2;4;6;8;5;3;10;5;23
356;J7;3;0;1;2;0;2;3;8;0;0;0;0;0;1;0;4;2;3;0;6;8;18
356;J8;0;5;3;0;0;0;0;0;4;8;3;0;7;5;0;0;0;4;10;9;1;9
356;J9;0;0;3;0;2;0;1;2;6;4;2;6;9;3;3;4;6;1;4;3;2;27
356;J10;9;7;0;6;3;5;7;0;0;8;6;0;0;0;0;7;0;2;0;0;9;26
356;J11;2;6;0;8;0;5;1;6;0;0;4;3;2;9;9;4;6;5;5;9;1;180
356;J12;0;0;8;0;9;0;0;0;0;0;0;2;7;10;0;3;5;6;5;7;7;75
356;J13;0;0;0;0;0;0;0;0;1;4;0;8;7;0;0;6;9;10;5;1;1;70
356;J14;4;0;6;7;0;2;0;1;5;7;1;8;8;9;6;6;8;4;0;0;2;144
356;J15;0;2;0;0;0;0;0;0;0;0;0;0;0;5;0;0;1;0;3;0;1;154

